originalNameUsageID,genus,taxonID,parentNameUsageID,acceptedNameUsageID,datasetID,taxonomicStatus,taxonRank,scientificName,specificEpithet,infraspecificEpithet,nameAccordingTo,namePublishedIn,nomenclaturalCode,nomenclaturalStatus,taxonRemarks,dcterms:references
,Barreropsylla,121680,xG8,,,ACCEPTED,SPECIES,"Barreropsylla excelsa Jordan, 1953",excelsa,,,,ICZN,,,
,,xGA,xG6,,,ACCEPTED,GENUS,Cleopsylla,,,,,,,,
,Cleopsylla,121730,xGA,,,ACCEPTED,SPECIES,"Cleopsylla vidua Beaucournu & Gallardo, 1991",vidua,,,,ICZN,,,
,Cleopsylla,121710,xGA,,,ACCEPTED,SPECIES,"Cleopsylla monticola Smit, 1953",monticola,,,,ICZN,,,
,Cleopsylla,121720,xGA,,,ACCEPTED,SPECIES,"Cleopsylla townsendi Rothschild, 1914",townsendi,,,,ICZN,,,
,,xB2,xA,,,ACCEPTED,SUPERFAMILY,Ancistropsylloidea,,,,,,,,
,,xB4,xB2,,,ACCEPTED,FAMILY,Ancistropsyllidae,,,,,,,,
,,xB6,xB4,,,ACCEPTED,GENUS,Ancistropsylla,,,,,,,,
,Ancistropsylla,106900,xB6,,,ACCEPTED,SPECIES,"Ancistropsylla nepalensis Lewis, 1968",nepalensis,,,,ICZN,,,
,Ancistropsylla,106920,xB6,,,ACCEPTED,SPECIES,"Ancistropsylla siamensis Smit & Toumanoff, 1952",siamensis,,,,ICZN,,,
,Ancistropsylla,106910,xB6,,,ACCEPTED,SPECIES,"Ancistropsylla roubaudi Toumanoff & Fuller, 1947",roubaudi,,,,ICZN,,,
,,xAU,xA,,,ACCEPTED,SUPERFAMILY,Coptopsylloidea,,,,,,,,
,,xAW,xAU,,,ACCEPTED,FAMILY,Coptopsyllidae,,,,,,,,
,,xAY,xAW,,,ACCEPTED,GENUS,Coptopsylla,,,,,,,,
,Coptopsylla,106860,xAY,,,ACCEPTED,SPECIES,"Coptopsylla wassiliewi (Wagner, 1932)",wassiliewi,,,,ICZN,,,
,Coptopsylla,106840,xAY,,,ACCEPTED,SPECIES,"Coptopsylla smiti Hubbard, 1956",smiti,,,,ICZN,,,
,Coptopsylla,106850,xAY,,,ACCEPTED,SPECIES,"Coptopsylla trigona Ioff, 1946",trigona,,,,ICZN,,,
,Coptopsylla,106680,xAY,,,ACCEPTED,SPECIES,"Coptopsylla lamellifer (Wagner, 1895)",lamellifer,,,,ICZN,,,
,Coptopsylla,106740,106680,,,ACCEPTED,INFRASPECIFIC_NAME,"Coptopsylla lamellifer rostrata Ioff & Tiflov, 1934",lamellifer,rostrata,,,ICZN,,,
,Coptopsylla,106750,,106740,,SYNONYM,SUBSPECIES,"Coptopsylla lamellifer immanubriata Ioff & Tiflov, 1934",lamellifer,immanubriata,,,ICZN,,,
,Coptopsylla,106760,106680,,,ACCEPTED,INFRASPECIFIC_NAME,"Coptopsylla lamellifer tarimensis Yu Xin, Ye Ruiyu & Cao-Hanli, 1990",lamellifer,tarimensis,,,ICZN,,,
,Coptopsylla,139020,106680,,,ACCEPTED,INFRASPECIFIC_NAME,"Coptopsylla lamellifer tilufanensis Yu, Liao & Ruiyu, 1999",lamellifer,tilufanensis,,,ICZN,,,
,Coptopsylla,106720,106680,,,ACCEPTED,INFRASPECIFIC_NAME,"Coptopsylla lamellifer dubinini Ioff, 1950",lamellifer,dubinini,,,ICZN,,,
,Coptopsylla,106730,106680,,,ACCEPTED,INFRASPECIFIC_NAME,"Coptopsylla lamellifer formozovi Darskaya, 1988",lamellifer,formozovi,,,ICZN,,,
,Coptopsylla,106690,106680,,,ACCEPTED,INFRASPECIFIC_NAME,"Coptopsylla lamellifer lamellifer (Wagner, 1895)",lamellifer,lamellifer,,,ICZN,,,
,Coptopsylla,106700,106680,,,ACCEPTED,INFRASPECIFIC_NAME,"Coptopsylla lamellifer ardua Jordan & Rothschild, 1915",lamellifer,ardua,,,ICZN,,,
,Coptopsylla,106710,,106700,,SYNONYM,SUBSPECIES,"Coptopsylla lamellifer fallax Ioff & Tiflov, 1934",lamellifer,fallax,,,ICZN,,,
,Coptopsylla,106770,xAY,,,ACCEPTED,SPECIES,"Coptopsylla macrophthalma Ioff, 1950",macrophthalma,,,,ICZN,,,
