acceptedName,scientificName,taxonRemarks,taxonomicStatus,nomenclaturalStatus
Notiopsylla,"Goniopsyllus Baker, 1906 ","preoccupied as genus of Crestacea, Jordan & Rothschild, 1914 proposed Notiopsylla as nomen novum for Goniopsyllus",,
"Opisodasys vesperalis (Jordan, 1929)","Opisodasys jellisoni I. Fox, 1941","female Opisodasys vesperalis (Jordan, 1929)",,
"Oropsylla montana (Baker, 1895)","Oropsylla montana mandarina (Jordan & Rothschild, 1911)",,,
"Palaeopsylla aporema Smit & Rosicky, 1976","Palaeopsylla makaluensis Brelih, 1975 ",Female,,
"Palaeopsylla tauberi makaluensis Brelih, 1975","Palaeopsylla makaluensis Brelih, 1975 ",male,,
"Paradoxopsyllus curvispinus Miyajima & Koidzumi, 1909","Paradoxopsyllus cruvispinus Miyajima & Koidzumi, 1909 ",misspelling of curvispinus,misspelled,
"Polygenis platensis (Jordan & Rothschild, 1908)","Polygenis platensis cisandinus (Jordan, 1939)",,,
"Pygiopsylla hoplia Jordan & Rothschild, 1922","Pygiopsylla congrua Jordan & Rothschild, 1922 ",female,,
"Pygiopsylla zethi (Rothschild, 1904)","Pygiopsylla congrua Jordan & Rothschild, 1922 ",male,,
"Rhadinopsylla isacantha (Rothschild, 1907)","Rhadinopsylla pitymydis (Zavattari, 1914)","Zavattari, 1914",,
"Rhadinopsylla li transbaikalica Ioff & Tiflov, 1947","Rhadinopsylla acuminata Ioff & Tiflov, 1946 ",suppressed by ICZN,suppressed,
Rhadinopsyllinae,"Rectofrontia Wagner, 1930 ",synonym of subgenus Actenophthalmus,synonym,
Rhadinopsyllinae," Rangulpsylla Darskaya, 1949 ",synonym of subgenus Actenophthalmus,synonym,
"Stenoponia tripectinata (Tiraboschi, 1902)","Stenoponia tripectinata ssp. barcana, blanda, irakana, medialis, separata spinellosa Jordan, 1958 ","see Beaucournu, 2013",,
"Synosternus pallidus (Taschenberg, 1880)", Pulex witherbyi Rothschild ,"in: Witherby, 1902",,
"Tarsopsylla octodecimdentata (Kolenati, 1863)"," Opisodasys jellisoni I. Fox, 1941 ",male Tarsopsylla octodecimdentata,,
"Thrassis acamantis (Rothschild, 1905)","Thrassis howelli (Jordan, 1933)",,,
Tunga," Psammodes Gistel, 1850 ",1847?,,
"Xenopsylla skrjabini Ioff, 1930","Xenopsylla skrjabini Ioff, 1928 ",only later 1930 did Ioff describe,,
