"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
288,"Siphonaptera","Pulicidae","Xenopsylla","cheopis",NA,"Rothschild, 1903","species",0,"Xenopsylla cheopis","NMNH"
289,"Siphonaptera","Pulicidae","Xenopsylla","aequisetosa",NA,"Enderlein, 1901","species",0,"Xenopsylla aequisetosa","NMNH"
290,"Siphonaptera","Leptopsyllidae","Acropsylla","girshami",NA,"Traub, 1950","species",0,"Acropsylla girshami","NMNH"
291,"Siphonaptera","Pulicidae","Ctenocephalides","orientis",NA,"Jordan, 1925","species",0,"Ctenocephalides orientis","NMNH"
292,"Siphonaptera","Pulicidae","Xenopsylla","astia",NA,"Rothschild, 1911","species",0,"Xenopsylla astia","NMNH"
293,"Siphonaptera","Stivaliidae","Aviostivalius","klossi",NA,"","species",0,"Aviostivalius klossi","NMNH"
294,"Siphonaptera","Ceratophyllidae","Ceratophyllus","vison",NA,"Baker, 1904","species",0,"Ceratophyllus vison","NMNH"
295,"Siphonaptera","Ceratophyllidae","Opisodasys","pseudarctomys",NA,"","species",0,"Opisodasys pseudarctomys","NMNH"
296,"Siphonaptera","Ceratophyllidae","Opisodasys","vesperalis",NA,"","species",0,"Opisodasys vesperalis","NMNH"
297,"Siphonaptera","Ceratophyllidae","Opisodasys","keeni",NA,"","species",0,"Opisodasys keeni","NMNH"
298,"Siphonaptera","Ceratophyllidae","Orchopeas","leucopus",NA,"","species",0,"Orchopeas leucopus","NMNH"
299,"Siphonaptera","Pulicidae","Cediopsylla","simplex",NA,"","species",0,"Cediopsylla simplex","NMNH"
300,"Siphonaptera","Hystrichopsyllidae","Hystrichopsylla","tahavuana",NA,"","species",0,"Hystrichopsylla tahavuana","NMNH"
301,"Siphonaptera","Ceratophyllidae","Oropsylla","idahoensis",NA,"","species",0,"Oropsylla idahoensis","NMNH"
302,"Siphonaptera","Ceratophyllidae","Aetheca","wagneri",NA,"Baker, 1904","species",0,"Aetheca wagneri","NMNH"
303,"Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis","dissimilis","Jordan, 1938","subspecies",0,"Amalaraeus dissimilis dissimilis","NMNH"
304,"Siphonaptera","Ceratophyllidae","Amaradix","euphorbi",NA,"Rothschild, 1905","species",0,"Amaradix euphorbi","NMNH"
