"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"FMNH","FMNH314",NA,NA,NA,NA,NA,NA,NA,"Polygenis (Polygenis) unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis","Polygenis",NA,NA,"subgenus",NA,NA,NA,NA,NA,NA,NA,"Polygenis"
"FMNH","FMNH318",NA,NA,NA,NA,NA,NA,NA,"Rhopalopsyllus unidentified",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Rhopalopsyllus",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Rhopalopsyllus"
"FMNH","1",NA,NA,NA,NA,NA,NA,NA,"Aetheca wagneri (Baker, 1904)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aetheca",NA,"wagneri",NA,"species",NA,"Baker, 1904",NA,NA,NA,NA,NA,"Aetheca wagneri"
"FMNH","2",NA,NA,NA,NA,NA,NA,NA,"Amalaraeus dissimilis athabascae (Holland, 1952)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus",NA,"dissimilis","athabascae","subspecies",NA,"Holland, 1952",NA,NA,NA,NA,NA,"Amalaraeus dissimilis athabascae"
"FMNH","3",NA,NA,NA,NA,NA,NA,NA,"Amalaraeus dissimilis dissimilis (Jordan, 1938)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus",NA,"dissimilis","dissimilis","subspecies",NA,"Jordan, 1938",NA,NA,NA,NA,NA,"Amalaraeus dissimilis dissimilis"
"FMNH","4",NA,NA,NA,NA,NA,NA,NA,"Amalaraeus dobbsi (Hubbard, 1940)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus",NA,"dobbsi",NA,"species",NA,"Hubbard, 1940",NA,NA,NA,NA,NA,"Amalaraeus dobbsi"
"FMNH","5",NA,NA,NA,NA,NA,NA,NA,"Amalaraeus penicilliger penicilliger (Grube, 1851)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus",NA,"penicilliger","penicilliger","subspecies",NA,"Grube, 1851",NA,NA,NA,NA,NA,"Amalaraeus penicilliger penicilliger"
"FMNH","6",NA,NA,NA,NA,NA,NA,NA,"Amaradix bitterrootensis bitterrootensis (Dunn, 1923)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amaradix",NA,"bitterrootensis","bitterrootensis","subspecies",NA,"Dunn, 1923",NA,NA,NA,NA,NA,"Amaradix bitterrootensis bitterrootensis"
"FMNH","7",NA,NA,NA,NA,NA,NA,NA,"Amaradix bitterrootensis vonfintelis (Prince, 1959)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amaradix",NA,"bitterrootensis","vonfintelis","subspecies",NA,"Prince, 1959",NA,NA,NA,NA,NA,"Amaradix bitterrootensis vonfintelis"
"FMNH","8",NA,NA,NA,NA,NA,NA,NA,"Amaradix euphorbi (Rothschild, 1905)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amaradix",NA,"euphorbi",NA,"species",NA,"Rothschild, 1905",NA,NA,NA,NA,NA,"Amaradix euphorbi"
