"catalog number","barcode","catalog","class","order","family","scientificName","type status","type citation","other identifications","sex and stage","preparation","bioregion","distribution","country","province/state","district/county","precise locality","elevation (m)","centroid latitude","centroid longitude","field number","collector(s)","collecting date","specimen count","record status","genetic sample type","biorepository number","bold id","genbank numbers","preservation method","embargo?","depleted?","record last modified","ezid","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","reason"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Dinopsyllus (Dinopsyllus) unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; South Africa; Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/3342992b2-0d4e-44e2-9d4f-3ea4e084db3c","NMNH",251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus","Dinopsyllus","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Listropsylla unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; South Africa; Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/35b3c1d21-949b-497e-9dfe-f48417b89330","NMNH",255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Listropsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Echidnophaga unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-04 16:10:00,"http://n2t.net/ark:/65665/322bffd7f-ac3e-4f74-a45d-d412910d872c","NMNH",260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echidnophaga",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Procaviopsylla unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; Namibia; South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/3adf24810-0584-42d7-bbba-c91438120c3c","NMNH",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Procaviopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Synosternus unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Botswana; Ghana; Mauritania; Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-02 21:01:00,"http://n2t.net/ark:/65665/34339f4f2-0fc9-4c05-9251-5223b4d0019e","NMNH",265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synosternus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Pulex (Pulex) unidentified",NA,NA,NA,NA,"Slide","Nearctic; Neotropical; Palaearctic","Brazil; Netherlands; United States (Arkansas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/3b8d08e65-472c-45a2-9113-c1a9c80cc0c0","NMNH",287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex","Pulex","unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Pleochaetis unidentified",NA,NA,NA,NA,"Slide","Nearctic","Canada (Ontario); United States (Kansas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/3bf156ee0-fe62-4887-bd50-ffec826d13a0","NMNH",320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pleochaetis",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Orchopeas unidentified",NA,NA,NA,NA,"Slide","Nearctic","Canada (Alberta, British Columbia); United States (California, Colorado, Florida, Kansas, Maine, Maryland, Massachusetts, Montana, New York, Oregon, South Carolina)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/3ac70ae7a-a99e-4072-b9f1-f15b2fd4d388","NMNH",324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orchopeas",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Megarthroglossus unidentified",NA,NA,NA,NA,"Slide","Nearctic","Canada (Alberta); United States (Colorado, Montana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:17:00,"http://n2t.net/ark:/65665/38832e699-011c-4ae2-8298-958f2af0e167","NMNH",355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megarthroglossus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Neopsylla unidentified",NA,NA,NA,NA,"Slide","Nearctic; Palaearctic","China; United States (Idaho, Montana, North Dakota, Oregon, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/384820506-1e2c-4738-9ce6-97a3e5ab7bde","NMNH",373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Rhopalopsyllidae","Rhopalopsyllus unidentified",NA,NA,NA,NA,"Slide","Nearctic; Neotropical","Colombia; Mexico; Panama; United States (Texas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2020-01-09 21:55:00,"http://n2t.net/ark:/65665/34a7ea3e0-0850-474f-9825-43a686e0d80e","NMNH",379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhopalopsyllus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus unidentified",NA,NA,NA,NA,"Slide","Afrotropical; Neotropical; Palaearctic","Congo; Denmark (Iceland); Germany; Korea; Mexico; Rwanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:26:00,"http://n2t.net/ark:/65665/38da3cc12-cec6-4483-bc52-336be8476789","NMNH",385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Leptopsyllidae","Mesopsylla unidentified",NA,NA,NA,NA,"Slide","Afrotropical","Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-29 17:42:00,"http://n2t.net/ark:/65665/3d21291b9-0ea8-41b4-9f6c-a74e51364cd8","NMNH",401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mesopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Stenoponia unidentified",NA,NA,NA,NA,"Slide","Afrotropical; Nearctic; Palaearctic","Egypt; United States (Virginia); Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/38f477918-4834-437f-bfc3-126a606a9696","NMNH",403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stenoponia",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Pulicidae","Xenopsylla unidentified",NA,NA,NA,NA,"Slide","Afrotropical; Oriental; Palaearctic","Egypt; Ivory Coast; Namibia; South Africa; South Vietnam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/330e4cf38-fa1c-4ff3-ba95-3e8a76e5861c","NMNH",411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Ceratophyllidae","Citellophilus unidentified",NA,NA,NA,NA,"Slide","Palaearctic","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:17:00,"http://n2t.net/ark:/65665/3f56c3cb9-328a-4430-85a4-a727026968b4","NMNH",435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citellophilus",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
NA,NA,"Species Inventory","Insecta","Siphonaptera","Hystrichopsyllidae","Palaeopsylla unidentified",NA,NA,NA,NA,"Slide","Palaearctic","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:17:00,"http://n2t.net/ark:/65665/38d84b346-b637-4a6d-9199-848f2cea8466","NMNH",437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla",NA,"unidentified",NA,NA,NA,"",NA,NA,NA,NA,NA,"specificEpithet flagged"
