"order","family","genus","species","subspecies","author","taxonlevel","canonical","source","id","accid","merge_tag","unique"
"Siphonaptera","Ceratophyllidae","Amalaraeus","arvicolae","furkotensis","Rosicky, 1955","subspecies","Amalaraeus arvicolae furkotensis","Lewis",2699,50,"orig","Lewis50"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","isus",NA,"Jordan, 1925","species","Ceratophyllus isus","Lewis",2700,54,"orig","Lewis54"
"Siphonaptera","Ceratophyllidae","Malaraeus","jordani",NA,"I. Fox, 1939","species","Malaraeus jordani","Lewis",2701,55,"orig","Lewis55"
"Siphonaptera","Ceratophyllidae","Amonopsyllus","ciliatus","protinus","Jordan, 1929","subspecies","Amonopsyllus ciliatus protinus","Lewis",2702,57,"orig","Lewis57"
"Siphonaptera","Leptopsyllidae","Amphipsylla","anceps","coangusta","Ioff & Tiflov, 1939","subspecies","Amphipsylla anceps coangusta","Lewis",2703,59,"orig","Lewis59"
"Siphonaptera","Leptopsyllidae","Amphipsylla","dumalis","dilatata","Ioff & Tiflov, 1939","subspecies","Amphipsylla dumalis dilatata","Lewis",2704,66,"orig","Lewis66"
"Siphonaptera","Leptopsyllidae","Amphipsylla","contigua",NA,"Jordan & Rothschild, 1913","species","Amphipsylla contigua","Lewis",2705,83,"orig","Lewis83"
"Siphonaptera","Leptopsyllidae","Amphipsylla","certa",NA,"Jordan & Rothschild, 1913","species","Amphipsylla certa","Lewis",2706,84,"orig","Lewis84"
"Siphonaptera","Leptopsyllidae","Amphipsylla","kuznetzovi","transcaucasica","Goncharov, 1973","subspecies","Amphipsylla kuznetzovi transcaucasica","Lewis",2707,87,"orig","Lewis87"
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","princei",NA,"Barnes, 1965","species","Anomiopsyllus princei","Lewis",2708,97,"orig","Lewis97"
"Siphonaptera","Hystrichopsyllidae","Saphiopsylla","nupera","palina","Jordan, 1931","subspecies","Saphiopsylla nupera palina","Lewis",2709,127,"orig","Lewis127"
"Siphonaptera","Stivaliidae","Pygiopsylla","synetus",NA,"Jordan & Rothschild, 1922","species","Pygiopsylla synetus","Lewis",2710,133,"orig","Lewis133"
"Siphonaptera","Ceratophyllidae","Citellophilus","occidentis",NA,"Jordan, 1938","species","Citellophilus occidentis","Lewis",2711,179,"orig","Lewis179"
"Siphonaptera","Ceratophyllidae","Callopsylla","danieli",NA,"Smit & Rosicky, 1973","species","Callopsylla danieli","Lewis",2712,181,"orig","Lewis181"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","rothschildi",NA,"Waterston, 1910","species","Ceratophyllus rothschildi","Lewis",2713,182,"orig","Lewis182"
"Siphonaptera","Ctenophthalmidae","Trirachipsylla","digitiformis",NA,"Stewart, 1940","species","Trirachipsylla digitiformis","Lewis",2714,187,"orig","Lewis187"
"Siphonaptera","Ctenophthalmidae","Catallagia","onaga",NA,"Jordan, 1929","species","Catallagia onaga","Lewis",2715,190,"orig","Lewis190"
"Siphonaptera","Ctenophthalmidae","Catallagia","motei",NA,"Hubbard, 1940","species","Catallagia motei","Lewis",2716,193,"orig","Lewis193"
"Siphonaptera","Ctenophthalmidae","Catallagia","dacenkoi","fulleri","Holland, 1951","subspecies","Catallagia dacenkoi fulleri","Lewis",2717,194,"orig","Lewis194"
"Siphonaptera","Ctenophthalmidae","Catallagia","moneris",NA,"Jordan, 1937","species","Catallagia moneris","Lewis",2718,195,"orig","Lewis195"
"Siphonaptera","Ctenophthalmidae","Catallagia","sculleni","chamberlini","Hubbard, 1940","subspecies","Catallagia sculleni chamberlini","Lewis",2719,203,"orig","Lewis203"
"Siphonaptera","Ceratophyllidae","Pulex","columbinus",NA,"Mégnin, 1880","species","Pulex columbinus","Lewis",2720,219,"orig","Lewis219"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","rileyi",NA,"Liu, 1935","species","Ceratophyllus rileyi","Lewis",2721,221,"orig","Lewis221"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","aenas",NA,"Dale, 1878","species","Ceratophyllus aenas","Lewis",2722,225,"orig","Lewis225"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","angulatus",NA,"Wahlgren, 1903","species","Ceratophyllus angulatus","Lewis",2723,226,"orig","Lewis226"
"Siphonaptera","Ceratophyllidae","Pulex","hirundinis",NA,"Köhler, 1832","species","Pulex hirundinis","Lewis",2724,230,"orig","Lewis230"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","sternacuminatus",NA,"Brown, 1968","species","Ceratophyllus sternacuminatus","Lewis",2725,231,"orig","Lewis231"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","niger","inflexus","Jordan, 1929","subspecies","Ceratophyllus niger inflexus","Lewis",2726,237,"orig","Lewis237"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","breviprojectus",NA,"Liu, Wu & Wu, 1966","species","Ceratophyllus breviprojectus","Lewis",2727,238,"orig","Lewis238"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","corvinus",NA,"Peus, 1941","species","Ceratophyllus corvinus","Lewis",2728,248,"orig","Lewis248"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","dalei",NA,"Rothschild, 1903","species","Ceratophyllus dalei","Lewis",2729,249,"orig","Lewis249"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","avicitelli",NA,"Ioff, 1946","species","Ceratophyllus avicitelli","Lewis",2730,252,"orig","Lewis252"
