"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
110,"Siphonaptera","Leptopsyllidae","Amphipsylla","argoi",NA,"Ioff, 1946","species",0,"Amphipsylla argoi","Lewis"
111,"Siphonaptera","Leptopsyllidae","Amphipsylla","asiatica",NA,"Ioff, 1928","species",0,"Amphipsylla asiatica","Lewis"
112,"Siphonaptera","Leptopsyllidae","Amphipsylla","aspalacis",NA,"Jordan, 1929","species",0,"Amphipsylla aspalacis","Lewis"
113,"Siphonaptera","Leptopsyllidae","Amphipsylla","casis",NA,"Jordan & Rothschild, 1911","species",0,"Amphipsylla casis","Lewis"
114,"Siphonaptera","Leptopsyllidae","Amphipsylla","daea",NA,"(Dampf, 1910)","species",0,"Amphipsylla daea","Lewis"
115,"Siphonaptera","Leptopsyllidae","Amphipsylla","dumalis",NA,"Jordan & Rothschild, 1915","species",0,"Amphipsylla dumalis","Lewis"
116,"Siphonaptera","Leptopsyllidae","Amphipsylla","georgica",NA,"Savenko, 1949","species",0,"Amphipsylla georgica","Lewis"
117,"Siphonaptera","Leptopsyllidae","Amphipsylla","germani",NA,"Emelyanova & Lyetova, 1963","species",0,"Amphipsylla germani","Lewis"
118,"Siphonaptera","Leptopsyllidae","Amphipsylla","jingtieshanensis",NA,"Ma, Zhang & Wang, 1979","species",0,"Amphipsylla jingtieshanensis","Lewis"
119,"Siphonaptera","Leptopsyllidae","Amphipsylla","kalabukhovi",NA,"Ioff & Tiflov, 1939","species",0,"Amphipsylla kalabukhovi","Lewis"
120,"Siphonaptera","Leptopsyllidae","Amphipsylla","kulkarnii",NA,"Lewis, 1981","species",0,"Amphipsylla kulkarnii","Lewis"
127,"Siphonaptera","Leptopsyllidae","Amphipsylla","montana",NA,"Argyropulo, 1946","species",0,"Amphipsylla montana","Lewis"
128,"Siphonaptera","Leptopsyllidae","Amphipsylla","montium",NA,"Jordan, 1944","species",0,"Amphipsylla montium","Lewis"
129,"Siphonaptera","Leptopsyllidae","Amphipsylla","orthogonia",NA,"Liu, Tsai & Wu, 1975","species",0,"Amphipsylla orthogonia","Lewis"
130,"Siphonaptera","Leptopsyllidae","Amphipsylla","parthiana",NA,"Ioff, 1950","species",0,"Amphipsylla parthiana","Lewis"
131,"Siphonaptera","Leptopsyllidae","Amphipsylla","paucispina",NA,"Zheng & Cai, 1998","species",0,"Amphipsylla paucispina","Lewis"
132,"Siphonaptera","Leptopsyllidae","Amphipsylla","petristshevae",NA,"Darskaya, 1949","species",0,"Amphipsylla petristshevae","Lewis"
136,"Siphonaptera","Leptopsyllidae","Amphipsylla","polyspina",NA,"Liu, Wu & Li, 1994","species",0,"Amphipsylla polyspina","Lewis"
137,"Siphonaptera","Leptopsyllidae","Amphipsylla","postsinusa",NA,"Liu, Guo & Wu, 1996","species",0,"Amphipsylla postsinusa","Lewis"
138,"Siphonaptera","Leptopsyllidae","Amphipsylla","prima",NA,"Wagner, 1928","species",0,"Amphipsylla prima","Lewis"
142,"Siphonaptera","Leptopsyllidae","Amphipsylla","qinghaiensis",NA,"Ren & Ji, 1979","species",0,"Amphipsylla qinghaiensis","Lewis"
143,"Siphonaptera","Leptopsyllidae","Amphipsylla","quadratedigita",NA,"Liu, Wu & Wu, 1965","species",0,"Amphipsylla quadratedigita","Lewis"
147,"Siphonaptera","Leptopsyllidae","Amphipsylla","rossica",NA,"Wagner, 1912","species",0,"Amphipsylla rossica","Lewis"
148,"Siphonaptera","Leptopsyllidae","Amphipsylla","schelkovnikovi",NA,"Wagner, 1909","species",0,"Amphipsylla schelkovnikovi","Lewis"
154,"Siphonaptera","Leptopsyllidae","Amphipsylla","socia",NA,"Peus, 1977","species",0,"Amphipsylla socia","Lewis"
155,"Siphonaptera","Leptopsyllidae","Amphipsylla","tenuihama",NA,"Wu, Liu & Ma, 1979","species",0,"Amphipsylla tenuihama","Lewis"
156,"Siphonaptera","Leptopsyllidae","Amphipsylla","transcaucasica",NA,"Ioff, 1953","species",0,"Amphipsylla transcaucasica","Lewis"
161,"Siphonaptera","Leptopsyllidae","Amphipsylla","tutatoides",NA,"Liu, Guo & Wu, 1996","species",0,"Amphipsylla tutatoides","Lewis"
164,"Siphonaptera","Leptopsyllidae","Amphipsylla","washingtona",NA,"(Hubbard, 1954)","species",0,"Amphipsylla washingtona","Lewis"
165,"Siphonaptera","Leptopsyllidae","Amphipsylla","weiningensis",NA,"Li, 1992","species",0,"Amphipsylla weiningensis","Lewis"
166,"Siphonaptera","Leptopsyllidae","Amphipsylla","yadongensis",NA,"Wang & Wang, 1988","species",0,"Amphipsylla yadongensis","Lewis"
167,"Siphonaptera","Ancistropsyllidae","Ancistropsylla","nepalensis",NA,"Lewis, 1968","species",0,"Ancistropsylla nepalensis","Lewis"
168,"Siphonaptera","Ancistropsyllidae","Ancistropsylla","roubaudi",NA,"Toumanoff & Fuller, 1947","species",0,"Ancistropsylla roubaudi","Lewis"
169,"Siphonaptera","Ancistropsyllidae","Ancistropsylla","siamensis",NA,"Smit & Toumanoff, 1952","species",0,"Ancistropsylla siamensis","Lewis"
170,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","amphibolus",NA,"Wagner, 1936","species",0,"Anomiopsyllus amphibolus","Lewis"
171,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","durangoensis",NA,"Holland, 1965","species",0,"Anomiopsyllus durangoensis","Lewis"
174,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","martini",NA,"Holland, 1965","species",0,"Anomiopsyllus martini","Lewis"
175,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","montanus",NA,"Collins, 1936","species",0,"Anomiopsyllus montanus","Lewis"
176,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","nidiophilus",NA,"Tipton & Mendez, 1968","species",0,"Anomiopsyllus nidiophilus","Lewis"
177,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","novomexicanensis",NA,"Williams & Hoff, 1951","species",0,"Anomiopsyllus novomexicanensis","Lewis"
181,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","oaxacae",NA,"Barnes, 1965","species",0,"Anomiopsyllus oaxacae","Lewis"
182,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","perotensis",NA,"Acosta & Fernandez, 2009","species",0,"Anomiopsyllus perotensis","Lewis"
183,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","sinuatus",NA,"Holland, 1965","species",0,"Anomiopsyllus sinuatus","Lewis"
184,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","traubi",NA,"Barrera, 1951","species",0,"Anomiopsyllus traubi","Lewis"
185,"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","walkeri",NA,"Barnes, 1965","species",0,"Anomiopsyllus walkeri","Lewis"
186,"Siphonaptera","Pulicidae","Aphropsylla","conversa",NA,"Jordan & Rothschild, 1913","species",0,"Aphropsylla conversa","Lewis"
187,"Siphonaptera","Pulicidae","Aphropsylla","truncata",NA,"Hastriter, 2009","species",0,"Aphropsylla truncata","Lewis"
188,"Siphonaptera","Pulicidae","Aphropsylla","wollastoni",NA,"(Rothschild, 1908)","species",0,"Aphropsylla wollastoni","Lewis"
189,"Siphonaptera","Ischnopsyllidae","Araeopsylla","elbeli",NA,"Traub, 1954","species",0,"Araeopsylla elbeli","Lewis"
190,"Siphonaptera","Ischnopsyllidae","Araeopsylla","faini",NA,"Beaucournu, 1981","species",0,"Araeopsylla faini","Lewis"
191,"Siphonaptera","Ischnopsyllidae","Araeopsylla","gestroi",NA,"(Rothschild, 1906)","species",0,"Araeopsylla gestroi","Lewis"
192,"Siphonaptera","Ischnopsyllidae","Araeopsylla","goodmani",NA,"Hastriter, 2016","species",0,"Araeopsylla goodmani","Lewis"
193,"Siphonaptera","Ischnopsyllidae","Araeopsylla","immanis",NA,"Smit, 1958","species",0,"Araeopsylla immanis","Lewis"
194,"Siphonaptera","Ischnopsyllidae","Araeopsylla","lumareti",NA,"Smit, 1958","species",0,"Araeopsylla lumareti","Lewis"
195,"Siphonaptera","Ischnopsyllidae","Araeopsylla","martialis",NA,"(Rothschild, 1903)","species",0,"Araeopsylla martialis","Lewis"
196,"Siphonaptera","Ischnopsyllidae","Araeopsylla","phnomensis",NA,"Klein, 1970","species",0,"Araeopsylla phnomensis","Lewis"
197,"Siphonaptera","Ischnopsyllidae","Araeopsylla","scitula",NA,"(Rothschild, 1909)","species",0,"Araeopsylla scitula","Lewis"
198,"Siphonaptera","Ischnopsyllidae","Araeopsylla","smiti",NA,"Hastriter, 2016","species",0,"Araeopsylla smiti","Lewis"
199,"Siphonaptera","Ischnopsyllidae","Araeopsylla","wassifi",NA,"Traub, 1954","species",0,"Araeopsylla wassifi","Lewis"
202,"Siphonaptera","Pulicidae","Archaeopsylla","sinensis",NA,"Jordan & Rothschild, 1911","species",0,"Archaeopsylla sinensis","Lewis"
204,"Siphonaptera","Stivaliidae","Astivalius","archboldi",NA,"Hastriter, 2020","species",0,"Astivalius archboldi","Lewis"
205,"Siphonaptera","Stivaliidae","Astivalius","microphthalmus",NA,"Smit, 1953","species",0,"Astivalius microphthalmus","Lewis"
206,"Siphonaptera","Stivaliidae","Astivalius","mirzai",NA,"Hastriter, 2020","species",0,"Astivalius mirzai","Lewis"
207,"Siphonaptera","Stivaliidae","Astivalius","toxopeusi",NA,"Hastriter, 2020","species",0,"Astivalius toxopeusi","Lewis"
208,"Siphonaptera","Pulicidae","Atopopsyllus","cionus",NA,"Poinar, 2015","species",0,"Atopopsyllus cionus","Lewis"
209,"Siphonaptera","Hystrichopsyllidae","Atyphloceras","bishopi",NA,"Jordan, 1933","species",0,"Atyphloceras bishopi","Lewis"
214,"Siphonaptera","Hystrichopsyllidae","Atyphloceras","nuperus",NA,"(Jordan, 1931)","species",0,"Atyphloceras nuperus","Lewis"
215,"Siphonaptera","Hystrichopsyllidae","Atyphloceras","shogakii",NA,"Jameson & Sakaguti, 1954","species",0,"Atyphloceras shogakii","Lewis"
216,"Siphonaptera","Hystrichopsyllidae","Atyphloceras","tancitari",NA,"Traub & Johnson, 1952","species",0,"Atyphloceras tancitari","Lewis"
218,"Siphonaptera","Pygiopsyllidae","Austropsylla","brevipecten",NA,"Holland, 1971","species",0,"Austropsylla brevipecten","Lewis"
219,"Siphonaptera","Stivaliidae","Aviostivalius","apapillus",NA,"Liu, Li & Shi, 1998","species",0,"Aviostivalius apapillus","Lewis"
220,"Siphonaptera","Stivaliidae","Aviostivalius","hylomysus",NA,"Li, Xie & Gong, 1981","species",0,"Aviostivalius hylomysus","Lewis"
221,"Siphonaptera","Stivaliidae","Aviostivalius","klossi",NA,"(Jordan & Rothschild, 1922)","species",0,"Aviostivalius klossi","Lewis"
222,"Siphonaptera","Rhopalopsyllidae","Ayeshaepsylla","thurmani",NA,"(Johnson, 1957)","species",0,"Ayeshaepsylla thurmani","Lewis"
223,"Siphonaptera","Ceratophyllidae","Baculomeris","altmani",NA,"(Tipton & Mendez, 1961)","species",0,"Baculomeris altmani","Lewis"
224,"Siphonaptera","Ceratophyllidae","Baculomeris","schmidti",NA,"(Traub, 1950)","species",0,"Baculomeris schmidti","Lewis"
225,"Siphonaptera","Stephanocircidae","Barreropsylla","excelsa",NA,"Jordan, 1953","species",0,"Barreropsylla excelsa","Lewis"
226,"Siphonaptera","Pygiopsyllidae","Bibikovana","acumena",NA,"Hastriter, 2021","species",0,"Bibikovana acumena","Lewis"
227,"Siphonaptera","Pygiopsyllidae","Bibikovana","archboldi",NA,"(Holland, 1969)","species",0,"Bibikovana archboldi","Lewis"
228,"Siphonaptera","Pygiopsyllidae","Bibikovana","arcuata",NA,"(Holland, 1971)","species",0,"Bibikovana arcuata","Lewis"
229,"Siphonaptera","Pygiopsyllidae","Bibikovana","bosaviensis",NA,"Hastriter, 2021","species",0,"Bibikovana bosaviensis","Lewis"
230,"Siphonaptera","Pygiopsyllidae","Bibikovana","colossa",NA,"(Rothschild, 1906)","species",0,"Bibikovana colossa","Lewis"
231,"Siphonaptera","Pygiopsyllidae","Bibikovana","engilisi",NA,"Hastriter, 2021","species",0,"Bibikovana engilisi","Lewis"
232,"Siphonaptera","Pygiopsyllidae","Bibikovana","gravis",NA,"(Rothschild, 1908)","species",0,"Bibikovana gravis","Lewis"
233,"Siphonaptera","Pygiopsyllidae","Bibikovana","iridis",NA,"(Holland, 1971)","species",0,"Bibikovana iridis","Lewis"
236,"Siphonaptera","Pygiopsyllidae","Bibikovana","mikeliensis",NA,"Hastriter, 2021","species",0,"Bibikovana mikeliensis","Lewis"
239,"Siphonaptera","Pygiopsyllidae","Bibikovana","sinuata",NA,"(Holland, 1971)","species",0,"Bibikovana sinuata","Lewis"
240,"Siphonaptera","Pygiopsyllidae","Bibikovana","smitiana",NA,"(Holland, 1969)","species",0,"Bibikovana smitiana","Lewis"
241,"Siphonaptera","Pygiopsyllidae","Bibikovana","tiptoni",NA,"(Traub, 1957)","species",0,"Bibikovana tiptoni","Lewis"
242,"Siphonaptera","Pygiopsyllidae","Bibikovana","traubi",NA,"(Holland, 1969)","species",0,"Bibikovana traubi","Lewis"
243,"Siphonaptera","Leptopsyllidae","Brachyctenonotus","myospalacis",NA,"Wagner, 1928","species",0,"Brachyctenonotus myospalacis","Lewis"
244,"Siphonaptera","Lycopsyllidae","Bradiopsylla","echidnae",NA,"(Denny, 1843)","species",0,"Bradiopsylla echidnae","Lewis"
