"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"GBIF","4480818",NA,1416927,"1416905",NA,NA,NA,NA,"Ceratophyllus improvisus Ioff, 1946",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Amalaraeus",NA,"improvisus",NA,"species",NA,"Ioff, 1946",NA,NA,"homotypic synonym",NA,"Originally found in sources as homotypic synonym of Amalareus improvisus (Ioff, 1946)","Ceratophyllus improvisus"
"GBIF, CoL","1416648",NA,1416646,"1416605",NA,NA,NA,NA,"Nomadopsylla princei Hubbard, 1943",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Thrassis",NA,"princei",NA,"species",NA,"Hubbard, 1943",NA,NA,"synonym",NA,NA,"Nomadopsylla princei"
"GBIF, CoL","1417231",NA,1417228,"1417115",NA,NA,NA,NA,"Ceratopsyllus phaulius Rothschild, 1909",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Ceratophyllus",NA,"phaulius",NA,"species",NA,"Rothschild, 1909",NA,NA,"synonym",NA,NA,"Ceratopsyllus phaulius"
"GBIF, CoL","1418119",NA,1418114,"1418042",NA,NA,NA,NA,"Amphipsylla thoracicus Rothschild, 1911",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae",NA,"Amphipsylla",NA,"thoracicus",NA,"species",NA,"Rothschild, 1911",NA,NA,"synonym",NA,NA,"Amphipsylla thoracicus"
"GBIF","4770147",NA,NA,"5324",NA,NA,NA,NA,"Tanglha Liu, Wu & Wu, 1977",NA,NA,NA,NA,"Acta Ent. Sin. 20",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Tanglha",NA,NA,NA,"genus",NA,"Liu, Wu & Wu, 1977",NA,NA,"doubtful",NA,NA,"Tanglha"
"GBIF, CoL","1416991",NA,1416990,"1416967",NA,NA,NA,NA,"Megabothris baikalensis (Ioff, 1928)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Megabothris",NA,"baikalensis",NA,"species",NA,"(Ioff, 1928)",NA,NA,"synonym",NA,NA,"Megabothris baikalensis"
"GBIF, CoL","6194257",NA,1416868,"1416848",NA,NA,NA,NA,"Oropsylla alaskensis asiatica (Wagner, 1930)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Oropsylla",NA,"alaskensis","asiatica","subspecies",NA,"(Wagner, 1930)",NA,NA,"synonym",NA,NA,"Oropsylla alaskensis asiatica"
"GBIF, CoL","1416870",NA,1416868,"1416848",NA,NA,NA,NA,"Aethopsylla elana Jordan, 1929",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Oropsylla",NA,"elana",NA,"species",NA,"Jordan, 1929",NA,NA,"synonym",NA,NA,"Aethopsylla elana"
"GBIF, CoL","1416873",NA,1416868,"1416848",NA,NA,NA,NA,"Aethopsylla stejnegeri Jordan, 1937",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Oropsylla",NA,"stejnegeri",NA,"species",NA,"Jordan, 1937",NA,NA,"synonym",NA,NA,"Aethopsylla stejnegeri"
"GBIF, CoL","6194462",NA,NA,"1419340",NA,NA,NA,NA,"Euchoplopsyllus glacialis exoticus (Jordan & Rothschild, 1923)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Euchoplopsyllus",NA,"glacialis","exoticus","subspecies",NA,"(Jordan & Rothschild, 1923)",NA,NA,"accepted",NA,NA,"Euchoplopsyllus glacialis exoticus"
