"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","syn1","syn2","syn3","syn4","syn5","syn6","syn7","syn8","syn9","syn10","syn11","syn12","syn13"
"Ceratophyllidae","Ceratophyllinae","Nosopsyllus","fasciatus","(Bosc)","1800","Pulex talpae Bouche, 1835 (junior homonym of Pulex fasciatus Bosc, 1800); Pulex furoris Dale, 1878; Ceratophyllus canadensis Baker, 1904; Ceratophyllus californicus Baker, 1904; Ceratophyllus endymionis Rothschild, 1904; Ceratophyllus oculatus Baker, 1904; Nosopsyllus paganus Peus, 1949","Lewis",1701,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex talpae Bouche, 1835 ","Nosopsyllus fasciatus (Bosc, 1800)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"fasciatus",NA,"species",NA,"(Bosc, 1800)",NA,NA,NA,NA,"junior homonym of Pulex fasciatus Bosc, 1800","Nosopsyllus fasciatus","Pulex talpae Bouche, 1835 (junior homonym of Pulex fasciatus Bosc, 1800)","Pulex furoris Dale, 1878","Ceratophyllus canadensis Baker, 1904","Ceratophyllus californicus Baker, 1904","Ceratophyllus endymionis Rothschild, 1904","Ceratophyllus oculatus Baker, 1904","Nosopsyllus paganus Peus, 1949",NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Opisodasys","vesperalis","(Jordan)","1929","Opisodasys jellisoni I. Fox, 1941 [female Opisodasys vesperalis (Jordan, 1929)]","Lewis",1828,NA,NA,NA,NA,NA,NA,NA,NA,"Opisodasys jellisoni I. Fox, 1941 [female Opisodasys vesperalis ]","Opisodasys vesperalis (Jordan, 1929)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"vesperalis",NA,"species",NA,"(Jordan, 1929)",NA,NA,NA,NA,"Jordan, 1929","Opisodasys vesperalis","Opisodasys jellisoni I. Fox, 1941 [female Opisodasys vesperalis (Jordan, 1929)]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Ctenophthalminae","Palaeopsylla","aporema","Smit & Rosicky","1976","Palaeopsylla makaluensis Brelih, 1975 (Female)","Lewis",1881,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975 ","Palaeopsylla aporema Smit & Rosicky, 1976",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"aporema",NA,"species",NA,"Smit & Rosicky, 1976",NA,NA,NA,NA,"Female","Palaeopsylla aporema","Palaeopsylla makaluensis Brelih, 1975 (Female)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptopsyllidae","Amphipsyllinae","Paradoxopsyllus","curvispinus","Miyajima & Koidzumi","1909","Paradoxopsyllus cruvispinus (sic) Miyajima & Koidzumi, 1909; Ceratophyllus subcaecatus Rothschild, 1912","Lewis",2001,NA,NA,NA,NA,NA,NA,NA,NA,"Paradoxopsyllus cruvispinus  Miyajima & Koidzumi, 1909","Paradoxopsyllus curvispinus Miyajima & Koidzumi, 1909",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"curvispinus",NA,"species",NA,"Miyajima & Koidzumi, 1909",NA,NA,NA,NA,"sic","Paradoxopsyllus curvispinus","Paradoxopsyllus cruvispinus (sic) Miyajima & Koidzumi, 1909","Ceratophyllus subcaecatus Rothschild, 1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhopalopsyllidae","Rhopalopsyllinae","Polygenis","platensis","(Jordan & Rothschild)","1908","Polygenis platensis cisandinus (Jordan, 1939)","Lewis",2218,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis platensis cisandinus ","Polygenis platensis (Jordan & Rothschild, 1908)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"platensis",NA,"species",NA,"(Jordan & Rothschild, 1908)",NA,NA,NA,NA,"Jordan, 1939","Polygenis platensis","Polygenis platensis cisandinus (Jordan, 1939)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Pygiopsylla","hoplia","Jordan & Rothschild","1922","Pygiopsylla congrua Jordan & Rothschild, 1922 (female); Pygiopsylla spinata Holland, 1969","Lewis",2257,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla congrua Jordan & Rothschild, 1922 ","Pygiopsylla hoplia Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hoplia",NA,"species",NA,"Jordan & Rothschild, 1922",NA,NA,NA,NA,"female","Pygiopsylla hoplia","Pygiopsylla congrua Jordan & Rothschild, 1922 (female)","Pygiopsylla spinata Holland, 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pygiopsyllidae",NA,"Pygiopsylla","zethi","(Rothschild)","1904","Pygiopsylla congrua Jordan & Rothschild, 1922 (male)","Lewis",2260,NA,NA,NA,NA,NA,NA,NA,NA,"Pygiopsylla congrua Jordan & Rothschild, 1922 ","Pygiopsylla zethi (Rothschild, 1904)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"zethi",NA,"species",NA,"(Rothschild, 1904)",NA,NA,NA,NA,"male","Pygiopsylla zethi","Pygiopsylla congrua Jordan & Rothschild, 1922 (male)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenophthalmidae","Stenoponiinae","Stenoponia","tripectinata","(Tiraboschi)","1902","Stenoponia tripectinata ssp. barcana, blanda, irakana, medialis, separata spinellosa Jordan, 1958 (see Beaucournu, 2013)","Lewis",2453,NA,NA,NA,NA,NA,NA,NA,NA,"Stenoponia tripectinata ssp. barcana, blanda, irakana, medialis, separata spinellosa Jordan, 1958 ","Stenoponia tripectinata (Tiraboschi, 1902)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"tripectinata",NA,"species",NA,"(Tiraboschi, 1902)",NA,NA,NA,NA,"see Beaucournu, 2013","Stenoponia tripectinata","Stenoponia tripectinata ssp. barcana, blanda, irakana, medialis, separata spinellosa Jordan, 1958 (see Beaucournu, 2013)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratophyllidae","Ceratophyllinae","Thrassis","acamantis","(Rothschild)","1905","Thrassis howelli (Jordan, 1933); Thrassis acamantis Stark, 1970; Thrassis pristinus Stark, 1957; Thrassis utahensis Wagner, 1936","Lewis",2533,NA,NA,NA,NA,NA,NA,NA,NA,"Thrassis howelli ","Thrassis acamantis (Rothschild, 1905)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"acamantis",NA,"species",NA,"(Rothschild, 1905)",NA,NA,NA,NA,"Jordan, 1933","Thrassis acamantis","Thrassis howelli (Jordan, 1933)","Thrassis acamantis Stark, 1970","Thrassis pristinus Stark, 1957","Thrassis utahensis Wagner, 1936",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pulicidae","Xenopsyllinae","Xenopsylla","skrjabini","Ioff","1930","Xenopsylla skrjabini Ioff, 1928 (only later 1930 did Ioff describe)","Lewis",2710,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla skrjabini Ioff, 1928 ","Xenopsylla skrjabini Ioff, 1930",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"skrjabini",NA,"species",NA,"Ioff, 1930",NA,NA,NA,NA,"only later 1930 did Ioff describe","Xenopsylla skrjabini","Xenopsylla skrjabini Ioff, 1928 (only later 1930 did Ioff describe)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
