"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis, CoL, GBIF",2769,NA,NA,NA,NA,NA,NA,NA,"Frontopsylla spadix borealosichuana Liu & Zhai, 1986",NA,"Frontopsylla spadix",NA,NA,NA,1986,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Frontopsylla",NA,"spadix","borealosichuana","subspecies",NA,"Liu & Zhai, 1986",NA,"ICZN","accepted",NA,NA,"Frontopsylla spadix borealosichuana"
"Lewis, CoL, GBIF",2770,NA,NA,NA,NA,NA,NA,NA,"Frontopsylla spadix nepalensis Brelih, 1975",NA,"Frontopsylla spadix",NA,NA,NA,1975,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Frontopsylla",NA,"spadix","nepalensis","subspecies",NA,"Brelih, 1975",NA,"ICZN","accepted",NA,NA,"Frontopsylla spadix nepalensis"
"Lewis, CoL, GBIF",2771,NA,NA,NA,NA,NA,NA,NA,"Frontopsylla spadix shennongjiaensis Ji, Chen & Liu, 1986",NA,"Frontopsylla spadix",NA,NA,NA,1986,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Frontopsylla",NA,"spadix","shennongjiaensis","subspecies",NA,"Ji, Chen & Liu, 1986",NA,"ICZN","accepted",NA,NA,"Frontopsylla spadix shennongjiaensis"
"Lewis, CoL, GBIF",2773,NA,NA,NA,NA,NA,NA,NA,"Frontopsylla spadix spadix (Jordan & Rothschild, 1921)",NA,"Frontopsylla spadix",NA,NA,NA,1921,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Frontopsylla",NA,"spadix","spadix","subspecies",NA,"(Jordan & Rothschild, 1921)",NA,"ICZN","accepted",NA,NA,"Frontopsylla spadix spadix"
"Lewis, CoL, GBIF",2776,NA,NA,NA,NA,NA,NA,NA,"Callopsylla sparsilis atallahi (Lewis, 1971)",NA,"Callopsylla sparsilis",NA,NA,NA,1971,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Callopsylla",NA,"sparsilis","atallahi","subspecies",NA,"(Lewis, 1971)",NA,"ICZN","accepted",NA,NA,"Callopsylla sparsilis atallahi"
"Lewis, CoL, GBIF",2778,NA,NA,NA,NA,NA,NA,NA,"Callopsylla sparsilis sparsilis (Jordan & Rothschild, 1922)",NA,"Callopsylla sparsilis",NA,NA,NA,1922,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Callopsylla",NA,"sparsilis","sparsilis","subspecies",NA,"(Jordan & Rothschild, 1922)",NA,"ICZN","accepted",NA,NA,"Callopsylla sparsilis sparsilis"
"Lewis, CoL, GBIF",2779,NA,NA,NA,NA,NA,NA,NA,"Neopsylla specialis dechingensis Hsieh & Yang, 1974",NA,"Neopsylla specialis",NA,NA,NA,1974,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllinae","Neopsylla",NA,"specialis","dechingensis","subspecies",NA,"Hsieh & Yang, 1974",NA,"ICZN","accepted",NA,NA,"Neopsylla specialis dechingensis"
"Lewis, CoL, GBIF",2780,NA,NA,NA,NA,NA,NA,NA,"Neopsylla specialis minpiensis Li & Wang, 1964",NA,"Neopsylla specialis",NA,NA,NA,1964,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllinae","Neopsylla",NA,"specialis","minpiensis","subspecies",NA,"Li & Wang, 1964",NA,"ICZN","accepted",NA,NA,"Neopsylla specialis minpiensis"
"Lewis, CoL, GBIF",2781,NA,NA,NA,NA,NA,NA,NA,"Neopsylla specialis schismatosa Li, 1980",NA,"Neopsylla specialis",NA,NA,NA,1980,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllinae","Neopsylla",NA,"specialis","schismatosa","subspecies",NA,"Li, 1980",NA,"ICZN","accepted",NA,NA,"Neopsylla specialis schismatosa"
"Lewis, CoL, GBIF",2783,NA,NA,NA,NA,NA,NA,NA,"Neopsylla specialis sichuanxizangensis Wu & Wang, 1982",NA,"Neopsylla specialis",NA,NA,NA,1982,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllinae","Neopsylla",NA,"specialis","sichuanxizangensis","subspecies",NA,"Wu & Wang, 1982",NA,"ICZN","accepted",NA,NA,"Neopsylla specialis sichuanxizangensis"
"Lewis, CoL, GBIF",2785,NA,NA,NA,NA,NA,NA,NA,"Neopsylla specialis specialis Jordan, 1932",NA,"Neopsylla specialis",NA,NA,NA,1932,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllinae","Neopsylla",NA,"specialis","specialis","subspecies",NA,"Jordan, 1932",NA,"ICZN","accepted",NA,NA,"Neopsylla specialis specialis"
"Lewis, CoL, GBIF",2786,NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla spectabilis spectabilis (Rothschild, 1898)",NA,"Peromyscopsylla spectabilis",NA,NA,NA,1898,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Leptopsyllinae","Peromyscopsylla",NA,"spectabilis","spectabilis","subspecies",NA,"(Rothschild, 1898)",NA,"ICZN","accepted",NA,NA,"Peromyscopsylla spectabilis spectabilis"
"Lewis, CoL, GBIF",2787,NA,NA,NA,NA,NA,NA,NA,"Peromyscopsylla spectabilis viatrix Beaucournu, 1975",NA,"Peromyscopsylla spectabilis",NA,NA,NA,1975,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Leptopsyllinae","Peromyscopsylla",NA,"spectabilis","viatrix","subspecies",NA,"Beaucournu, 1975",NA,"ICZN","accepted",NA,NA,"Peromyscopsylla spectabilis viatrix"
"Lewis, CoL, GBIF",2802,NA,NA,NA,NA,NA,NA,NA,"Procaviopsylla spinifex cabrali Ribeiro, 1975",NA,"Procaviopsylla spinifex",NA,NA,NA,1975,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsyllinae","Procaviopsylla",NA,"spinifex","cabrali","subspecies",NA,"Ribeiro, 1975",NA,"ICZN","accepted",NA,NA,"Procaviopsylla spinifex cabrali"
"Lewis, CoL, GBIF",2803,NA,NA,NA,NA,NA,NA,NA,"Procaviopsylla spinifex spinifex Jordan, 1936",NA,"Procaviopsylla spinifex",NA,NA,NA,1936,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsyllinae","Procaviopsylla",NA,"spinifex","spinifex","subspecies",NA,"Jordan, 1936",NA,"ICZN","accepted",NA,NA,"Procaviopsylla spinifex spinifex"
"Lewis, CoL, GBIF",2807,NA,NA,NA,NA,NA,NA,NA,"Amphalius spirataenius badongensis Ji, Chen & Wang, 1981",NA,"Amphalius spirataenius",NA,NA,NA,1981,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amphalius",NA,"spirataenius","badongensis","subspecies",NA,"Ji, Chen & Wang, 1981",NA,"ICZN","accepted",NA,NA,"Amphalius spirataenius badongensis"
"Lewis, CoL, GBIF",2808,NA,NA,NA,NA,NA,NA,NA,"Amphalius spirataenius diqingensis Li, Xie & Yang, 1980",NA,"Amphalius spirataenius",NA,NA,NA,1980,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amphalius",NA,"spirataenius","diqingensis","subspecies",NA,"Li, Xie & Yang, 1980",NA,"ICZN","accepted",NA,NA,"Amphalius spirataenius diqingensis"
"Lewis, CoL, GBIF",2809,NA,NA,NA,NA,NA,NA,NA,"Amphalius spirataenius heishuiensis Wang, Chen & Zhai, 1983",NA,"Amphalius spirataenius",NA,NA,NA,1983,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amphalius",NA,"spirataenius","heishuiensis","subspecies",NA,"Wang, Chen & Zhai, 1983",NA,"ICZN","accepted",NA,NA,"Amphalius spirataenius heishuiensis"
"Lewis",2810,NA,NA,NA,NA,NA,NA,NA,"Amphalius spirataenius mengdaensis Wu & Wang, 2002",NA,"Amphalius spirataenius",NA,NA,NA,2002,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amphalius",NA,"spirataenius","mengdaensis","subspecies",NA,"Wu & Wang, 2002",NA,"ICZN","accepted",NA,NA,"Amphalius spirataenius mengdaensis"
