"taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
1417842,"7ddf754f-d193-4cc9-b351-99906754a03b",1417841,NA,NA,"Acropsylla traubi Lewis, 1973","Lewis, 1973","Acropsylla traubi","Acropsylla","traubi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Acropsylla"
1419560,"7ddf754f-d193-4cc9-b351-99906754a03b",1419559,NA,NA,"Actenopsylla suavis Jordan & Rothschild, 1923","Jordan & Rothschild, 1923","Actenopsylla suavis","Actenopsylla","suavis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Actenopsylla"
1419000,"7ddf754f-d193-4cc9-b351-99906754a03b",9010,NA,NA,"Adoratopsylla Ewing, 1925","Ewing, 1925","Adoratopsylla","Adoratopsylla",NA,NA,"genus",NA,"J. Parasitology, 12","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
7198566,"7ddf754f-d193-4cc9-b351-99906754a03b",1419009,NA,NA,"Adoratopsylla antiquorum antiquorum","(Rothschild, 1904)","Adoratopsylla antiquorum antiquorum","Adoratopsylla","antiquorum","antiquorum","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
6194506,"7ddf754f-d193-4cc9-b351-99906754a03b",1419009,NA,NA,"Adoratopsylla antiquorum discreta (Jordan, 1926)","(Jordan, 1926)","Adoratopsylla antiquorum discreta","Adoratopsylla","antiquorum","discreta","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
6194507,"7ddf754f-d193-4cc9-b351-99906754a03b",1419009,NA,NA,"Adoratopsylla antiquorum rara Tipton & Machado, 1972","Tipton & Machado, 1972","Adoratopsylla antiquorum rara","Adoratopsylla","antiquorum","rara","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
6194505,"7ddf754f-d193-4cc9-b351-99906754a03b",1419009,NA,NA,"Adoratopsylla antiquorum recta Tipton & Machado, 1972","Tipton & Machado, 1972","Adoratopsylla antiquorum recta","Adoratopsylla","antiquorum","recta","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
6194508,"7ddf754f-d193-4cc9-b351-99906754a03b",1419009,NA,NA,"Adoratopsylla antiquorum ronnai Guimaraes, 1954","Guimaraes, 1954","Adoratopsylla antiquorum ronnai","Adoratopsylla","antiquorum","ronnai","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
1419002,"7ddf754f-d193-4cc9-b351-99906754a03b",1419000,NA,NA,"Adoratopsylla bisetosa Ewing, 1925","Ewing, 1925","Adoratopsylla bisetosa","Adoratopsylla","bisetosa",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
1419016,"7ddf754f-d193-4cc9-b351-99906754a03b",1419000,NA,NA,"Adoratopsylla dilecta Jordan, 1938","Jordan, 1938","Adoratopsylla dilecta","Adoratopsylla","dilecta",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
1419003,"7ddf754f-d193-4cc9-b351-99906754a03b",1419000,NA,"9261166","Adoratopsylla intermedia (Wagner, 1901)","(Wagner, 1901)","Adoratopsylla intermedia","Adoratopsylla","intermedia",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
6194511,"7ddf754f-d193-4cc9-b351-99906754a03b",1419003,NA,"9449218","Adoratopsylla intermedia copha (Jordan, 1926)","(Jordan, 1926)","Adoratopsylla intermedia copha","Adoratopsylla","intermedia","copha","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
7198565,"7ddf754f-d193-4cc9-b351-99906754a03b",1419003,NA,NA,"Adoratopsylla intermedia intermedia","(Wagner, 1901)","Adoratopsylla intermedia intermedia","Adoratopsylla","intermedia","intermedia","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
6194512,"7ddf754f-d193-4cc9-b351-99906754a03b",1419003,NA,NA,"Adoratopsylla intermedia vidua (Jordan, 1926)","(Jordan, 1926)","Adoratopsylla intermedia vidua","Adoratopsylla","intermedia","vidua","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
