"id","order","family","genus","species","subspecies","taxonlevel","accid","canonical","source"
35,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","bisetosa",NA,"species",0,"Adoratopsylla bisetosa","Lewis, CoL, NMNH, GBIF"
6277,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","cruzi",NA,"species",325,"Adoratopsylla cruzi","GBIF"
323,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","cunhai",NA,"species",316,"Adoratopsylla cunhai","CoL, GBIF"
36,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","dilecta",NA,"species",0,"Adoratopsylla dilecta","Lewis, CoL, NMNH, GBIF"
325,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","intermedia",NA,"species",0,"Adoratopsylla intermedia","CoL, NMNH, GBIF"
37,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","intermedia","copha","subspecies",0,"Adoratopsylla intermedia copha","Lewis, CoL, GBIF"
38,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","intermedia","intermedia","subspecies",0,"Adoratopsylla intermedia intermedia","Lewis, CoL, NMNH, GBIF"
3437,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","intermedia","oxyura","subspecies",38,"Adoratopsylla intermedia oxyura","CoL, GBIF"
39,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","intermedia","vidua","subspecies",0,"Adoratopsylla intermedia vidua","Lewis, CoL, GBIF"
78,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","rara",NA,"species",0,"Adoratopsylla rara","GBIF"
79,"Siphonaptera","Hystrichopsyllidae","Adoratopsylla","recta",NA,"species",0,"Adoratopsylla recta","GBIF"
40,"Siphonaptera","Ctenophthalmidae","Adoratopsylla","sinuata",NA,"species",0,"Adoratopsylla sinuata","Lewis, CoL, GBIF"
42,"Siphonaptera","Ceratophyllidae","Aenigmopsylla","grodekovi",NA,"species",0,"Aenigmopsylla grodekovi","Lewis, CoL, GBIF"
3442,"Siphonaptera","Ceratophyllidae","Aetheca","bakeri",NA,"species",43,"Aetheca bakeri","CoL, GBIF"
3444,"Siphonaptera","Ceratophyllidae","Aetheca","peromysci",NA,"species",44,"Aetheca peromysci","CoL, GBIF"
