"order","family","genus","species","subspecies","author","taxonlevel","canonical","source","merge_tag","id","accid"
"Siphonaptera","Leptopsyllidae","Amphipsylla","aspalacis",NA,"Jordan, 1929","species","Amphipsylla aspalacis","Lewis","orig",63,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","casis",NA,"Jordan & Rothschild, 1911","species","Amphipsylla casis","Lewis","orig",64,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","daea",NA,"(Dampf, 1910)","species","Amphipsylla daea","Lewis","orig",65,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","dumalis",NA,"Jordan & Rothschild, 1915","species","Amphipsylla dumalis","Lewis","orig",66,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","georgica",NA,"Savenko, 1949","species","Amphipsylla georgica","Lewis","orig",67,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","germani",NA,"Emelyanova & Lyetova, 1963","species","Amphipsylla germani","Lewis","orig",68,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","jingtieshanensis",NA,"Ma, Zhang & Wang, 1979","species","Amphipsylla jingtieshanensis","Lewis","orig",69,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","kalabukhovi",NA,"Ioff & Tiflov, 1939","species","Amphipsylla kalabukhovi","Lewis","orig",70,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","kulkarnii",NA,"Lewis, 1981","species","Amphipsylla kulkarnii","Lewis","orig",71,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","montana",NA,"Argyropulo, 1946","species","Amphipsylla montana","Lewis","orig",72,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","montium",NA,"Jordan, 1944","species","Amphipsylla montium","Lewis","orig",73,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","orthogonia",NA,"Liu, Tsai & Wu, 1975","species","Amphipsylla orthogonia","Lewis","orig",74,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","parthiana",NA,"Ioff, 1950","species","Amphipsylla parthiana","Lewis","orig",75,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","paucispina",NA,"Zheng & Cai, 1998","species","Amphipsylla paucispina","Lewis","orig",76,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","petristshevae",NA,"Darskaya, 1949","species","Amphipsylla petristshevae","Lewis","orig",77,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","polyspina",NA,"Liu, Wu & Li, 1994","species","Amphipsylla polyspina","Lewis","orig",78,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","postsinusa",NA,"Liu, Guo & Wu, 1996","species","Amphipsylla postsinusa","Lewis","orig",79,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","prima",NA,"Wagner, 1928","species","Amphipsylla prima","Lewis","orig",80,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","qinghaiensis",NA,"Ren & Ji, 1979","species","Amphipsylla qinghaiensis","Lewis","orig",81,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","quadratedigita",NA,"Liu, Wu & Wu, 1965","species","Amphipsylla quadratedigita","Lewis","orig",82,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","rossica",NA,"Wagner, 1912","species","Amphipsylla rossica","Lewis","orig",83,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","schelkovnikovi",NA,"Wagner, 1909","species","Amphipsylla schelkovnikovi","Lewis","orig",84,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","socia",NA,"Peus, 1977","species","Amphipsylla socia","Lewis","orig",85,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","tenuihama",NA,"Wu, Liu & Ma, 1979","species","Amphipsylla tenuihama","Lewis","orig",86,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","transcaucasica",NA,"Ioff, 1953","species","Amphipsylla transcaucasica","Lewis","orig",87,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","tutatoides",NA,"Liu, Guo & Wu, 1996","species","Amphipsylla tutatoides","Lewis","orig",88,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","washingtona",NA,"(Hubbard, 1954)","species","Amphipsylla washingtona","Lewis","orig",89,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","weiningensis",NA,"Li, 1992","species","Amphipsylla weiningensis","Lewis","orig",90,0
"Siphonaptera","Leptopsyllidae","Amphipsylla","yadongensis",NA,"Wang & Wang, 1988","species","Amphipsylla yadongensis","Lewis","orig",91,0
"Siphonaptera","Ancistropsyllidae","Ancistropsylla","nepalensis",NA,"Lewis, 1968","species","Ancistropsylla nepalensis","Lewis","orig",92,0
"Siphonaptera","Ancistropsyllidae","Ancistropsylla","roubaudi",NA,"Toumanoff & Fuller, 1947","species","Ancistropsylla roubaudi","Lewis","orig",93,0
"Siphonaptera","Ancistropsyllidae","Ancistropsylla","siamensis",NA,"Smit & Toumanoff, 1952","species","Ancistropsylla siamensis","Lewis","orig",94,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","amphibolus",NA,"Wagner, 1936","species","Anomiopsyllus amphibolus","Lewis","orig",95,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","durangoensis",NA,"Holland, 1965","species","Anomiopsyllus durangoensis","Lewis","orig",96,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","martini",NA,"Holland, 1965","species","Anomiopsyllus martini","Lewis","orig",97,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","montanus",NA,"Collins, 1936","species","Anomiopsyllus montanus","Lewis","orig",98,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","nidiophilus",NA,"Tipton & Mendez, 1968","species","Anomiopsyllus nidiophilus","Lewis","orig",99,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","novomexicanensis",NA,"Williams & Hoff, 1951","species","Anomiopsyllus novomexicanensis","Lewis","orig",100,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","oaxacae",NA,"Barnes, 1965","species","Anomiopsyllus oaxacae","Lewis","orig",101,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","perotensis",NA,"Acosta & Fernandez, 2009","species","Anomiopsyllus perotensis","Lewis","orig",102,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","sinuatus",NA,"Holland, 1965","species","Anomiopsyllus sinuatus","Lewis","orig",103,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","traubi",NA,"Barrera, 1951","species","Anomiopsyllus traubi","Lewis","orig",104,0
"Siphonaptera","Ctenophthalmidae","Anomiopsyllus","walkeri",NA,"Barnes, 1965","species","Anomiopsyllus walkeri","Lewis","orig",105,0
"Siphonaptera","Pulicidae","Aphropsylla","conversa",NA,"Jordan & Rothschild, 1913","species","Aphropsylla conversa","Lewis","orig",106,0
"Siphonaptera","Pulicidae","Aphropsylla","truncata",NA,"Hastriter, 2009","species","Aphropsylla truncata","Lewis","orig",107,0
"Siphonaptera","Pulicidae","Aphropsylla","wollastoni",NA,"(Rothschild, 1908)","species","Aphropsylla wollastoni","Lewis","orig",108,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","elbeli",NA,"Traub, 1954","species","Araeopsylla elbeli","Lewis","orig",109,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","faini",NA,"Beaucournu, 1981","species","Araeopsylla faini","Lewis","orig",110,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","gestroi",NA,"(Rothschild, 1906)","species","Araeopsylla gestroi","Lewis","orig",111,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","goodmani",NA,"Hastriter, 2016","species","Araeopsylla goodmani","Lewis","orig",112,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","immanis",NA,"Smit, 1958","species","Araeopsylla immanis","Lewis","orig",113,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","lumareti",NA,"Smit, 1958","species","Araeopsylla lumareti","Lewis","orig",114,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","martialis",NA,"(Rothschild, 1903)","species","Araeopsylla martialis","Lewis","orig",115,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","phnomensis",NA,"Klein, 1970","species","Araeopsylla phnomensis","Lewis","orig",116,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","scitula",NA,"(Rothschild, 1909)","species","Araeopsylla scitula","Lewis","orig",117,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","smiti",NA,"Hastriter, 2016","species","Araeopsylla smiti","Lewis","orig",118,0
"Siphonaptera","Ischnopsyllidae","Araeopsylla","wassifi",NA,"Traub, 1954","species","Araeopsylla wassifi","Lewis","orig",119,0
"Siphonaptera","Pulicidae","Archaeopsylla","sinensis",NA,"Jordan & Rothschild, 1911","species","Archaeopsylla sinensis","Lewis","orig",120,0
"Siphonaptera","Stivaliidae","Astivalius","archboldi",NA,"Hastriter, 2020","species","Astivalius archboldi","Lewis","orig",121,0
"Siphonaptera","Stivaliidae","Astivalius","microphthalmus",NA,"Smit, 1953","species","Astivalius microphthalmus","Lewis","orig",122,0
"Siphonaptera","Stivaliidae","Astivalius","mirzai",NA,"Hastriter, 2020","species","Astivalius mirzai","Lewis","orig",123,0
"Siphonaptera","Stivaliidae","Astivalius","toxopeusi",NA,"Hastriter, 2020","species","Astivalius toxopeusi","Lewis","orig",124,0
"Siphonaptera","Pulicidae","Atopopsyllus","cionus",NA,"Poinar, 2015","species","Atopopsyllus cionus","Lewis","orig",125,0
"Siphonaptera","Hystrichopsyllidae","Atyphloceras","bishopi",NA,"Jordan, 1933","species","Atyphloceras bishopi","Lewis","orig",126,0
"Siphonaptera","Hystrichopsyllidae","Atyphloceras","nuperus",NA,"(Jordan, 1931)","species","Atyphloceras nuperus","Lewis","orig",127,0
"Siphonaptera","Hystrichopsyllidae","Atyphloceras","shogakii",NA,"Jameson & Sakaguti, 1954","species","Atyphloceras shogakii","Lewis","orig",128,0
"Siphonaptera","Hystrichopsyllidae","Atyphloceras","tancitari",NA,"Traub & Johnson, 1952","species","Atyphloceras tancitari","Lewis","orig",129,0
"Siphonaptera","Pygiopsyllidae","Austropsylla","brevipecten",NA,"Holland, 1971","species","Austropsylla brevipecten","Lewis","orig",130,0
"Siphonaptera","Stivaliidae","Aviostivalius","apapillus",NA,"Liu, Li & Shi, 1998","species","Aviostivalius apapillus","Lewis","orig",131,0
"Siphonaptera","Stivaliidae","Aviostivalius","hylomysus",NA,"Li, Xie & Gong, 1981","species","Aviostivalius hylomysus","Lewis","orig",132,0
"Siphonaptera","Stivaliidae","Aviostivalius","klossi",NA,"(Jordan & Rothschild, 1922)","species","Aviostivalius klossi","Lewis","orig",133,0
"Siphonaptera","Rhopalopsyllidae","Ayeshaepsylla","thurmani",NA,"(Johnson, 1957)","species","Ayeshaepsylla thurmani","Lewis","orig",134,0
"Siphonaptera","Ceratophyllidae","Baculomeris","altmani",NA,"(Tipton & Mendez, 1961)","species","Baculomeris altmani","Lewis","orig",135,0
"Siphonaptera","Ceratophyllidae","Baculomeris","schmidti",NA,"(Traub, 1950)","species","Baculomeris schmidti","Lewis","orig",136,0
"Siphonaptera","Stephanocircidae","Barreropsylla","excelsa",NA,"Jordan, 1953","species","Barreropsylla excelsa","Lewis","orig",137,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","acumena",NA,"Hastriter, 2021","species","Bibikovana acumena","Lewis","orig",138,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","archboldi",NA,"(Holland, 1969)","species","Bibikovana archboldi","Lewis","orig",139,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","arcuata",NA,"(Holland, 1971)","species","Bibikovana arcuata","Lewis","orig",140,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","bosaviensis",NA,"Hastriter, 2021","species","Bibikovana bosaviensis","Lewis","orig",141,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","colossa",NA,"(Rothschild, 1906)","species","Bibikovana colossa","Lewis","orig",142,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","engilisi",NA,"Hastriter, 2021","species","Bibikovana engilisi","Lewis","orig",143,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","gravis",NA,"(Rothschild, 1908)","species","Bibikovana gravis","Lewis","orig",144,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","iridis",NA,"(Holland, 1971)","species","Bibikovana iridis","Lewis","orig",145,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","mikeliensis",NA,"Hastriter, 2021","species","Bibikovana mikeliensis","Lewis","orig",146,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","sinuata",NA,"(Holland, 1971)","species","Bibikovana sinuata","Lewis","orig",147,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","smitiana",NA,"(Holland, 1969)","species","Bibikovana smitiana","Lewis","orig",148,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","tiptoni",NA,"(Traub, 1957)","species","Bibikovana tiptoni","Lewis","orig",149,0
"Siphonaptera","Pygiopsyllidae","Bibikovana","traubi",NA,"(Holland, 1969)","species","Bibikovana traubi","Lewis","orig",150,0
"Siphonaptera","Leptopsyllidae","Brachyctenonotus","myospalacis",NA,"Wagner, 1928","species","Brachyctenonotus myospalacis","Lewis","orig",151,0
"Siphonaptera","Lycopsyllidae","Bradiopsylla","echidnae",NA,"(Denny, 1843)","species","Bradiopsylla echidnae","Lewis","orig",152,0
"Siphonaptera","Ceratophyllidae","Brevictenidia","mikulini",NA,"(Shvarts, 1960)","species","Brevictenidia mikulini","Lewis","orig",153,0
"Siphonaptera","Leptopsyllidae","Caenopsylla","assimulata",NA,"(Weiss, 1913)","species","Caenopsylla assimulata","Lewis","orig",154,0
"Siphonaptera","Leptopsyllidae","Caenopsylla","eremita",NA,"Beaucournu & Kowalski, 1985","species","Caenopsylla eremita","Lewis","orig",155,0
"Siphonaptera","Leptopsyllidae","Caenopsylla","janineae",NA,"Beaucournu& Gouat, 1987","species","Caenopsylla janineae","Lewis","orig",156,0
"Siphonaptera","Leptopsyllidae","Caenopsylla","mira",NA,"Rothschild, 1909","species","Caenopsylla mira","Lewis","orig",157,0
"Siphonaptera","Leptopsyllidae","Calceopsylla","aduncata",NA,"Liu, Wu & Wang, 1965","species","Calceopsylla aduncata","Lewis","orig",158,0
"Siphonaptera","Ceratophyllidae","Callopsylla","arcuata",NA,"Ge, Wang & Ma, 1988","species","Callopsylla arcuata","Lewis","orig",159,0
"Siphonaptera","Ceratophyllidae","Callopsylla","beishanensis",NA,"Wu Ni & Wu, 1986","species","Callopsylla beishanensis","Lewis","orig",160,0
"Siphonaptera","Ceratophyllidae","Callopsylla","bursiforma",NA,"Wu, Cai & Li, 1994","species","Callopsylla bursiforma","Lewis","orig",161,0
"Siphonaptera","Ceratophyllidae","Callopsylla","changduensis",NA,"(Liu, Wu & Wu, 1966)","species","Callopsylla changduensis","Lewis","orig",162,0
"Siphonaptera","Ceratophyllidae","Callopsylla","digitata",NA,"Cai, Wu & Liu, 1984","species","Callopsylla digitata","Lewis","orig",163,0
"Siphonaptera","Ceratophyllidae","Callopsylla","dolabella",NA,"Smit & Rosicky, 1976","species","Callopsylla dolabella","Lewis","orig",164,0
"Siphonaptera","Ceratophyllidae","Callopsylla","dolabris",NA,"(Jordan & Rothschild, 1911)","species","Callopsylla dolabris","Lewis","orig",165,0
"Siphonaptera","Ceratophyllidae","Callopsylla","forfica",NA,"Wu, Chen & Liu, 1981","species","Callopsylla forfica","Lewis","orig",166,0
"Siphonaptera","Ceratophyllidae","Callopsylla","gemina",NA,"(Ioff, 1946)","species","Callopsylla gemina","Lewis","orig",167,0
"Siphonaptera","Ceratophyllidae","Callopsylla","gypaetina",NA,"Peus, 1978","species","Callopsylla gypaetina","Lewis","orig",168,0
