"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","reason"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes peusianus","Rosicky",1955,"Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim); Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim); Ctenophthalmus agyrtes obenbergeri Rosicky, 1957","Lewis",3263,NA,NA,"Lewis548",NA,NA,NA,NA,NA,"Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes peusianus Rosicky, 1955",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"orphilus","tatricus","subspecies",NA,"Rosicky, 1951",NA,NA,"synonym",NA,"partim","Ctenophthalmus orphilus tatricus","duplicate canonical name"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus","agyrtes agyrtes","(Heller)",1896,"Ctenophthalmus agyrtoides Wahlgren, 1911; Ctenophthalmus agyrtes hanzaki Rosicky, 1951; Ctenophthalmus agyrtes slovacicus Rosicky, 1951 (partim); Ctenophthalmus orphilus tatricus Rosicky, 1951 (partim)","Lewis",3357,NA,NA,"Lewis537",NA,NA,NA,NA,NA,"Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes agyrtes (Heller, 1896)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"orphilus","tatricus","subspecies",NA,"Rosicky, 1951",NA,NA,"synonym",NA,"partim","Ctenophthalmus orphilus tatricus","duplicate canonical name"
"Ceratophyllidae","Ceratophyllinae","Diamanus","mokrzeckyi","(Wagner)",1916,"Ceratophyllus acutus Baker, 1904; Diamanus hopkinsi Vargas, 1955; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Ceratophyllus sucinus Jordan & Rothschild, 1921","Lewis",3212,NA,NA,"Lewis1727",NA,NA,NA,NA,NA,"Diamanus hopkinsi Vargas, 1955","Nosopsyllus mokrzeckyi (Wagner, 1916)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hopkinsi",NA,"species",NA,"Vargas, 1955",NA,NA,"synonym",NA,NA,"Diamanus hopkinsi","duplicate canonical name"
"Ceratophyllidae","Ceratophyllinae","Diamanus","montana","(Baker)",1895,"Ceratophyllus acutus Baker, 1904; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Diamanus hopkinsi Vargas, 1955","Lewis",3313,NA,NA,"Lewis1858",NA,NA,NA,NA,NA,"Diamanus hopkinsi Vargas, 1955","Oropsylla montana (Baker, 1895)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"hopkinsi",NA,"species",NA,"Vargas, 1955",NA,NA,"synonym",NA,NA,"Diamanus hopkinsi","duplicate canonical name"
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","hexactenus","(Kolenati)",1856,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Pulex vespertilionis Bouché, 1835; Pulex vespertilionis Dugès, 1832","Lewis",3193,NA,NA,"Lewis1210",NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Ischnopsyllus hexactenus (Kolenati, 1856)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"kolenatii",NA,"species",NA,"Wagner, 1930",NA,NA,"synonym",NA,NA,"Ischnopsyllus kolenatii","duplicate canonical name"
"Ctenophthalmidae","Neopsyllinae","Ischnopsyllus","honora","Jordan",1932,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Neopsylla rhombosa Chen & Wei, 1978","Lewis",3210,NA,NA,"Lewis1620",NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"kolenatii",NA,"species",NA,"Wagner, 1930",NA,NA,"synonym",NA,NA,"Ischnopsyllus kolenatii","duplicate canonical name"
"Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus","intermedius","(Rothschild)",1898,"Ceratopsylla wagneri Kohaut, 1903; Ischnopsyllus schmitzi Oudemans, 1909 (female Ischnopsyllus intermedius)","Lewis",3194,NA,NA,"Lewis1214",NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909","Ischnopsyllus intermedius (Rothschild, 1898)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"schmitzi",NA,"species",NA,"Oudemans, 1909",NA,NA,"synonym",NA,"female Ischnopsyllus intermedius","Ischnopsyllus schmitzi","duplicate canonical name"
"Ceratophyllidae","Ceratophyllinae","Ischnopsyllus","simplex simplex","(Wagner)",1902,"Ceratophyllus danubianus Rothschild, 1909; Citellophilus simplex domicae Rosicky, 1956; Ischnopsyllus schmitzi Oudemans, 1909 (male of Ischnopsyllus simplex simplex)","Lewis",3328,NA,NA,"Lewis443",NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909","Citellophilus simplex simplex (Wagner, 1902)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"schmitzi",NA,"species",NA,"Oudemans, 1909",NA,NA,"synonym",NA,"male of Ischnopsyllus simplex simplex","Ischnopsyllus schmitzi","duplicate canonical name"
"Ischnopsyllidae","Ischnopsyllinae","Nycteridopsylla","hexactenus","(Kolenati)",1856,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Pulex vespertilionis Bouché, 1835; Pulex vespertilionis Dugès, 1832","Lewis",2882,NA,NA,"Lewis1210",NA,NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Ischnopsyllus hexactenus (Kolenati, 1856)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"bouchei",NA,"species",NA,"Oudemans, 1906",NA,NA,"synonym",NA,NA,"Nycteridopsylla bouchei","duplicate canonical name"
"Ctenophthalmidae","Neopsyllinae","Nycteridopsylla","honora","Jordan",1932,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Neopsylla rhombosa Chen & Wei, 1978","Lewis",2923,NA,NA,"Lewis1620",NA,NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"bouchei",NA,"species",NA,"Oudemans, 1906",NA,NA,"synonym",NA,NA,"Nycteridopsylla bouchei","duplicate canonical name"
"Ceratophyllidae","Ceratophyllinae","Oropsylla","mokrzeckyi","(Wagner)",1916,"Ceratophyllus acutus Baker, 1904; Diamanus hopkinsi Vargas, 1955; Oropsylla montana mandarina (Jordan & Rothschild, 1911); Ceratophyllus sucinus Jordan & Rothschild, 1921","Lewis",3312,NA,NA,"Lewis1727",NA,NA,NA,NA,NA,"Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Nosopsyllus mokrzeckyi (Wagner, 1916)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"montana","mandarina","subspecies",NA,NA,NA,NA,"synonym",NA,NA,"Oropsylla montana mandarina","duplicate canonical name"
"Ctenophthalmidae","Ctenophthalminae","Palaeopsylla","tauberi makaluensis","Brelih",1975,"Palaeopsylla makaluensis Brelih, 1975 (Male)","Lewis",3134,NA,NA,"Lewis1940",NA,NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla tauberi makaluensis Brelih, 1975",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"makaluensis",NA,"species",NA,"Brelih, 1975",NA,NA,"synonym",NA,"male","Palaeopsylla makaluensis","duplicate canonical name"
"Pulicidae","Archaeopsyllinae","Pulex","canis","(Curtis)",1926,"Pulex canis Curtis, 1826 (junior homonym); Pulex canis Dugès, 1832 (junior homonym); Ctenocephalus novemdentatus Kolenati, 1859","Lewis",3184,NA,NA,"Lewis516",NA,NA,NA,NA,NA,"Pulex canis Dugès, 1832","Ctenocephalides canis (Curtis, 1926)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"canis",NA,"species",NA,"Dugès, 1832",NA,NA,"junior homonym",NA,NA,"Pulex canis","duplicate canonical name"
"Leptopsyllidae","Leptopsyllinae","Pulex","segnis","(Schönherr)",1811,"Pulex musculi Dugès, 1832; Pulex musculi Bouché, 1835 (junior homonym of Pulex musculi Dugès, 1832); Ctenophthalmus quadridentatus Kolenati, 1859; Ctenophthalmus bisbidentatus Kolenati, 1859;Typhlopsylla mexicana Baker, 1896;","Lewis",3197,NA,NA,"Lewis1327",NA,NA,NA,NA,NA,"Pulex musculi Bouché, 1835","Leptopsylla segnis (Schönherr, 1811)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"musculi",NA,"species",NA,"Bouché, 1835",NA,NA,"junior homonym",NA,"junior homonym of Pulex musculi Dugès, 1832","Pulex musculi","duplicate canonical name"
"Ischnopsyllidae","Ischnopsyllinae","Pulex","hexactenus","(Kolenati)",1856,"Nycteridopsylla bouchei Oudemans, 1906; Ischnopsyllus kolenatii Wagner, 1930; Ceratophyllus hexactena petropolitana Wagner, 1898; Pulex vespertilionis Bouché, 1835; Pulex vespertilionis Dugès, 1832","Lewis",3347,NA,NA,"Lewis1210",NA,NA,NA,NA,NA,"Pulex vespertilionis Bouché, 1835","Ischnopsyllus hexactenus (Kolenati, 1856)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"vespertilionis",NA,"species",NA,"Bouché, 1835",NA,NA,"synonym",NA,NA,"Pulex vespertilionis","duplicate canonical name"
"Pygiopsyllidae",NA,"Pygiopsylla","hoplia","Jordan & Rothschild",1922,"Pygiopsylla congrua Jordan & Rothschild, 1922 (female); Pygiopsylla spinata Holland, 1969","Lewis",2984,NA,NA,"Lewis2257",NA,NA,NA,NA,NA,"Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla hoplia Jordan & Rothschild, 1922",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"congrua",NA,"species",NA,"Jordan & Rothschild, 1922",NA,NA,"synonym",NA,"female","Pygiopsylla congrua","duplicate canonical name"
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla","semenovi","Argyropulo",1946,"Rhadinopsylla semenovi Argyropulo, 1941","Lewis",2994,NA,NA,"Lewis2334",NA,NA,NA,NA,NA,"Rhadinopsylla semenovi Argyropulo, 1941","Rhadinopsylla semenovi Argyropulo, 1946",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"semenovi",NA,"species",NA,"Argyropulo, 1941",NA,NA,"synonym",NA,NA,"Rhadinopsylla semenovi","duplicate canonical name"
"Ctenophthalmidae","Doratopsyllinae","Spalacopsylla",NA,"Ewing",1925,"Spalacopsylla Pinto, 1930 (junior synonym)","Lewis",2743,NA,NA,"Lewis41",NA,NA,NA,NA,NA,"Spalacopsylla Pinto, 1930","Adoratopsylla Ewing, 1925",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Pinto, 1930",NA,NA,"junior synonym",NA,NA,"Spalacopsylla","duplicate canonical name"
"Ctenophthalmidae","Ctenophthalminae","Spalacopsylla",NA,"Kolenati",1856,"Spalacopsylla Kolenati, 1856 (junior synonym)","Lewis",2752,NA,NA,"Lewis827",NA,NA,NA,NA,NA,"Spalacopsylla Kolenati, 1856","Ctenophthalmus Kolenati, 1856",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Kolenati, 1856",NA,NA,"junior synonym",NA,NA,"Spalacopsylla","duplicate canonical name"
"Ceratophyllidae","Ceratophyllinae","Thrassis","acamantis","(Rothschild)",1905,"Thrassis howelli (Jordan, 1933); Thrassis acamantis Stark, 1970; Thrassis pristinus Stark, 1957; Thrassis utahensis Wagner, 1936","Lewis",3238,NA,NA,"Lewis2533",NA,NA,NA,NA,NA,"Thrassis acamantis Stark, 1970","Thrassis acamantis (Rothschild, 1905)",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"acamantis",NA,"species",NA,"Stark, 1970",NA,NA,"synonym",NA,NA,"Thrassis acamantis","duplicate canonical name"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla",NA,"Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",3153,NA,NA,"Lewis91",NA,NA,NA,NA,NA,"Trichopsylla Jordan & Rothschild, 1920","Amalaraeus Ioff, 1936",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1920",NA,NA,"junior homonym",NA,"junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla","duplicate canonical name"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla",NA,"Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",3283,NA,NA,"Lewis91",NA,NA,NA,NA,NA,"Trichopsylla Ewing & Fox, 1943","Amalaraeus Ioff, 1936",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing & Fox, 1943",NA,NA,"junior homonym",NA,"junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla","duplicate canonical name"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla",NA,"Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",2744,NA,NA,NA,NA,NA,NA,NA,NA,"Trichopsylla Kolenati, 1863",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Kolenati, 1863",NA,NA,"synonym",NA,NA,"Trichopsylla","duplicate canonical name"
"Pulicidae","Xenopsyllinae","Xenopsylla","skrjabini","Ioff",1930,"Xenopsylla skrjabini Ioff, 1928 (only later 1930 did Ioff describe)","Lewis",3032,NA,NA,"Lewis2710",NA,NA,NA,NA,NA,"Xenopsylla skrjabini Ioff, 1928","Xenopsylla skrjabini Ioff, 1930",NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"skrjabini",NA,"species",NA,"Ioff, 1928",NA,NA,"synonym",NA,"only later 1930 did Ioff describe","Xenopsylla skrjabini","duplicate canonical name"
NA,NA,"Pulex",NA,NA,NA,"Pulex gigas Kirby, 1837 (likely a species of Hystrichopsylla)","Lewis",2739,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex gigas",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"gigas",NA,"species",NA,"Kirby, 1837",NA,NA,NA,NA,"likely a species of Hystrichopsylla","Pulex gigas","likely a species of Hystrichopsylla"
NA,NA,"Amalaraeus",NA,NA,NA,"Amalaraeus fossoris Sutemin, 1969 (nomina ex phantasia)","Lewis",2734,NA,NA,NA,NA,NA,NA,NA,NA,"Amalaraeus fossoris",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"fossoris",NA,"species",NA,"Sutemin, 1969",NA,NA,NA,NA,"nomina ex phantasia","Amalaraeus fossoris","nomina ex phantasia"
