"taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
10569111,NA,9010,NA,NA,"? sojanensis Becker-Migdisova, 1962","Becker-Migdisova, 1962","? sojanensis","?","sojanensis",NA,"unranked",NA,NA,"doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA
5051159,"7ddf754f-d193-4cc9-b351-99906754a03b",7236600,NA,NA,"Acanthopsylla scintilla (M.Rothschild, 1936)","(M.Rothschild, 1936)","Acanthopsylla scintilla","Acanthopsylla","scintilla",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
7766066,"7ddf754f-d193-4cc9-b351-99906754a03b",1417762,"1417787",NA,"Acanthopsylla utia Ji, 1979","Ji, 1979","Acanthopsylla utia","Acanthopsylla","utia",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Frontopsylla"
1419266,"7ddf754f-d193-4cc9-b351-99906754a03b",9010,NA,NA,"Acedestia Jordan, 1937","Jordan, 1937","Acedestia","Acedestia",NA,NA,"genus",NA,"Novit. Zool., 40","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Acedestia"
1416228,"7ddf754f-d193-4cc9-b351-99906754a03b",1416217,"1416227",NA,"Achaetopsylla kakhetiana Savenko, 1949","Savenko, 1949","Achaetopsylla kakhetiana","Achaetopsylla","kakhetiana",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Chaetopsylla"
1416252,"7ddf754f-d193-4cc9-b351-99906754a03b",1416217,"1416251",NA,"Achaetopsylla kohauti Oudemans, 1910","Oudemans, 1910","Achaetopsylla kohauti","Achaetopsylla","kohauti",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Chaetopsylla"
1416237,"7ddf754f-d193-4cc9-b351-99906754a03b",1416217,"1416236",NA,"Achaetopsylla nocens Ioff, 1946","Ioff, 1946","Achaetopsylla nocens","Achaetopsylla","nocens",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Chaetopsylla"
1416225,"7ddf754f-d193-4cc9-b351-99906754a03b",1416217,"1416223","10122500","Achaetopsylla strandi (Wahlgren, 1903)","(Wahlgren, 1903)","Achaetopsylla strandi","Achaetopsylla","strandi",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Chaetopsylla"
1416247,"7ddf754f-d193-4cc9-b351-99906754a03b",1416217,"1416246",NA,"Achaetopsylla striatus (Kolenati, 1863)","(Kolenati, 1863)","Achaetopsylla striatus","Achaetopsylla","striatus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Chaetopsylla"
1416224,"7ddf754f-d193-4cc9-b351-99906754a03b",1416217,"1416223","4480781","Achaetopsylla ursi (Rothschild, 1902)","(Rothschild, 1902)","Achaetopsylla ursi","Achaetopsylla","ursi",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae","Chaetopsylla"
1418038,"7ddf754f-d193-4cc9-b351-99906754a03b",5326,NA,NA,"Aconothobius Smit, 1975","Smit, 1975","Aconothobius","Aconothobius",NA,NA,"genus",NA,"Senckenberg. Biol. 56","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Aconothobius"
1417841,"7ddf754f-d193-4cc9-b351-99906754a03b",5326,NA,NA,"Acropsylla Rothschild, 1911","Rothschild, 1911","Acropsylla","Acropsylla",NA,NA,"genus",NA,"Novit. Zool., 18","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Acropsylla"
8836123,"6cfd67d6-4f9b-400b-8549-1933ac27936f",1417843,NA,NA,"Acropsylla episema girshami Traub","Traub","Acropsylla episema girshami","Acropsylla","episema","girshami","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Acropsylla"
4770151,"0938172b-2086-439c-a1dd-c21cb0109ed5",3259516,NA,NA,"Actenophthalmus Fox, 1925","Fox, 1925","Actenophthalmus","Actenophthalmus",NA,NA,"genus",NA,"Ent. News, 36","doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Actenophthalmus"
1419559,"7ddf754f-d193-4cc9-b351-99906754a03b",8853,NA,NA,"Actenopsylla Jordan & Rothschild, 1923","Jordan & Rothschild, 1923","Actenopsylla","Actenopsylla",NA,NA,"genus",NA,"Ectoparasites, 1","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Actenopsylla"
1419009,"7ddf754f-d193-4cc9-b351-99906754a03b",1419000,NA,NA,"Adoratopsylla antiquorum (Rothschild, 1904)","(Rothschild, 1904)","Adoratopsylla antiquorum","Adoratopsylla","antiquorum",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
1419013,"7ddf754f-d193-4cc9-b351-99906754a03b",1419000,"1419009",NA,"Adoratopsylla cunhai (Pinto, 1926)","(Pinto, 1926)","Adoratopsylla cunhai","Adoratopsylla","cunhai",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
6194510,"7ddf754f-d193-4cc9-b351-99906754a03b",1419003,"7198565",NA,"Adoratopsylla intermedia oxyura (Jordan, 1926)","(Jordan, 1926)","Adoratopsylla intermedia oxyura","Adoratopsylla","intermedia","oxyura","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
8738648,"6cfd67d6-4f9b-400b-8549-1933ac27936f",1419000,NA,NA,"Adoratopsylla rara Tipton & Machado-Allison","Tipton & Machado-Allison","Adoratopsylla rara","Adoratopsylla","rara",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
8880270,"6cfd67d6-4f9b-400b-8549-1933ac27936f",1419000,NA,NA,"Adoratopsylla recta Tipton & Machado-Allison","Tipton & Machado-Allison","Adoratopsylla recta","Adoratopsylla","recta",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
1416846,"7ddf754f-d193-4cc9-b351-99906754a03b",8846,NA,NA,"Aenigmopsylla",NA,"Aenigmopsylla","Aenigmopsylla",NA,NA,"genus",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aenigmopsylla"
1416893,"7ddf754f-d193-4cc9-b351-99906754a03b",8846,NA,NA,"Aetheca Smit, 1983","Smit, 1983","Aetheca","Aetheca",NA,NA,"genus",NA,"The Rothschild collection of fleas: the Ceratophyllidae: key to the Genera and host relationships with notes on their evolution, zoogeography and Medical importance. Rothschild & Traub, place of publication not known","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aetheca"
1416900,"7ddf754f-d193-4cc9-b351-99906754a03b",1416893,"1416899",NA,"Aetheca bakeri (Wagner, 1933)","(Wagner, 1933)","Aetheca bakeri","Aetheca","bakeri",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aetheca"
1416897,"7ddf754f-d193-4cc9-b351-99906754a03b",1416893,"1416894",NA,"Aetheca peromysci (Stewart, 1928)","(Stewart, 1928)","Aetheca peromysci","Aetheca","peromysci",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aetheca"
6194382,"7ddf754f-d193-4cc9-b351-99906754a03b",1416893,"1416894","9164955","Aetheca wagneri kylei (Hubbard, 1949)","(Hubbard, 1949)","Aetheca wagneri kylei","Aetheca","wagneri","kylei","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aetheca"
6194380,"7ddf754f-d193-4cc9-b351-99906754a03b",1416893,"1416894",NA,"Aetheca wagneri ophidius (Jordan, 1929)","(Jordan, 1929)","Aetheca wagneri ophidius","Aetheca","wagneri","ophidius","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aetheca"
6194381,"7ddf754f-d193-4cc9-b351-99906754a03b",1416893,"1416894",NA,"Aetheca wagneri systaltus (Jordan, 1929)","(Jordan, 1929)","Aetheca wagneri systaltus","Aetheca","wagneri","systaltus","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aetheca"
4770085,"0938172b-2086-439c-a1dd-c21cb0109ed5",1366,NA,NA,"Aetheopsylla Stewart & Holland, 1940","Stewart & Holland, 1940","Aetheopsylla","Aetheopsylla",NA,NA,"genus",NA,"Canad. Ent., 72","doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"Aetheopsylla"
1416850,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416849",NA,"Aethopsylla acutus (Baker, 1904)","(Baker, 1904)","Aethopsylla acutus","Aethopsylla","acutus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
1416858,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416856",NA,"Aethopsylla bertholfi (C.Fox, 1927)","(C.Fox, 1927)","Aethopsylla bertholfi","Aethopsylla","bertholfi",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
1416879,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416877","4480892","Aethopsylla crassus (Jordan & Rothschild, 1911)","(Jordan & Rothschild, 1911)","Aethopsylla crassus","Aethopsylla","crassus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
1416870,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416868",NA,"Aethopsylla elana Jordan, 1929","Jordan, 1929","Aethopsylla elana","Aethopsylla","elana",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
1416852,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416849",NA,"Aethopsylla hopkinsi (Vargas, 1955)","(Vargas, 1955)","Aethopsylla hopkinsi","Aethopsylla","hopkinsi",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
1416857,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416856",NA,"Aethopsylla poeantis (Rothschild, 1905)","(Rothschild, 1905)","Aethopsylla poeantis","Aethopsylla","poeantis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
1416854,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416853",NA,"Aethopsylla saundersi (Jordan, 1933)","(Jordan, 1933)","Aethopsylla saundersi","Aethopsylla","saundersi",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
1416880,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416877","4480894","Aethopsylla segregatus (Wagner, 1930)","(Wagner, 1930)","Aethopsylla segregatus","Aethopsylla","segregatus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
1416873,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416868",NA,"Aethopsylla stejnegeri Jordan, 1937","Jordan, 1937","Aethopsylla stejnegeri","Aethopsylla","stejnegeri",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
4577807,"0938172b-2086-439c-a1dd-c21cb0109ed5",8846,NA,NA,"Afoxella Smit, 1983","Smit, 1983","Afoxella","Afoxella",NA,NA,"genus",NA,"The Rothschild collection of fleas: the Ceratophyllidae: key to the Genera and host relationships with notes on their evolution, zoogeography and Medical importance. Rothschild & Traub, place of publication not known.","doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Afoxella"
1419676,"7ddf754f-d193-4cc9-b351-99906754a03b",5331,NA,NA,"Afristivalius Traub, 1980","Traub, 1980","Afristivalius","Afristivalius",NA,NA,"genus",NA,"In Traub & Starcke [Eds]. Fleas. Proceedings of the International Conference on Fleas, Ashton Wold, Peterborough, UK, 21-25 June 1977. A. A. Balkema, Rotterdam","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419678,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,"1419677",NA,"Afristivalius cacuminis (Smit, 1958)","(Smit, 1958)","Afristivalius cacuminis","Afristivalius","cacuminis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419688,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius pirloti (Smit, 1958)","(Smit, 1958)","Afristivalius pirloti","Afristivalius","pirloti",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1418623,"7ddf754f-d193-4cc9-b351-99906754a03b",9010,NA,NA,"Agastopsylla Jordan & Rothschild, 1923","Jordan & Rothschild, 1923","Agastopsylla","Agastopsylla",NA,NA,"genus",NA,"Ectoparasites, 1","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Agastopsylla"
1418629,"7ddf754f-d193-4cc9-b351-99906754a03b",1418623,NA,NA,"Agastopsylla boxi Jordan & Rothschild, 1923","Jordan & Rothschild, 1923","Agastopsylla boxi","Agastopsylla","boxi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Agastopsylla"
1418625,"7ddf754f-d193-4cc9-b351-99906754a03b",1418623,NA,NA,"Agastopsylla nylota Traub, 1952","Traub, 1952","Agastopsylla nylota","Agastopsylla","nylota",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Agastopsylla"
1419386,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419385",NA,"Alaopsylla achilla De Meillon, 1947","De Meillon, 1947","Alaopsylla achilla","Alaopsylla","achilla",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419376,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419375",NA,"Alaopsylla chersinus (Rothschild, 1906)","(Rothschild, 1906)","Alaopsylla chersinus","Alaopsylla","chersinus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419361,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419360",NA,"Alaopsylla hawaiiensis Jordan, 1932","Jordan, 1932","Alaopsylla hawaiiensis","Alaopsylla","hawaiiensis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419434,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419433",NA,"Alaopsylla lybica Wagner, 1933","Wagner, 1933","Alaopsylla lybica","Alaopsylla","lybica",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419362,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419360",NA,"Alaopsylla meseris (Jordan, 1936)","(Jordan, 1936)","Alaopsylla meseris","Alaopsylla","meseris",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419440,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419435",NA,"Alaopsylla murinus (Tiraboschi, 1904)","(Tiraboschi, 1904)","Alaopsylla murinus","Alaopsylla","murinus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419438,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419435",NA,"Alaopsylla pachyuromyidis Glinkiewicz, 1907","Glinkiewicz, 1907","Alaopsylla pachyuromyidis","Alaopsylla","pachyuromyidis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419427,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419426",NA,"Alaopsylla pasiphae De Meillon, 1947","De Meillon, 1947","Alaopsylla pasiphae","Alaopsylla","pasiphae",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419436,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419435",NA,"Alaopsylla philippinensis (Herzog, 1904)","(Herzog, 1904)","Alaopsylla philippinensis","Alaopsylla","philippinensis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419365,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419364",NA,"Alaopsylla sewelli Sharif, 1930","Sharif, 1930","Alaopsylla sewelli","Alaopsylla","sewelli",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419439,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419435",NA,"Alaopsylla tripolitanus (Fulmek, 1909)","(Fulmek, 1909)","Alaopsylla tripolitanus","Alaopsylla","tripolitanus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1419397,"7ddf754f-d193-4cc9-b351-99906754a03b",1419358,"1419396","4481012","Alaopsylla vigetus (Rothschild, 1909)","(Rothschild, 1909)","Alaopsylla vigetus","Alaopsylla","vigetus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla"
1417580,"7ddf754f-d193-4cc9-b351-99906754a03b",5324,NA,NA,"Alectopsylla Mahnert, 1976","Mahnert, 1976","Alectopsylla","Alectopsylla",NA,NA,"genus",NA,"Revue suisse Zool. 83","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Alectopsylla"
4770059,"0938172b-2086-439c-a1dd-c21cb0109ed5",1366,NA,NA,"Alloctenus Traub & Barrera, 1966","Traub & Barrera, 1966","Alloctenus","Alloctenus",NA,NA,"genus",NA,"J. Med. Ent. Honolulu 3","doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"Alloctenus"
1417577,"7ddf754f-d193-4cc9-b351-99906754a03b",5324,NA,NA,"Allopsylla Beaucournu & Fain, 1982","Beaucournu & Fain, 1982","Allopsylla","Allopsylla",NA,NA,"genus",NA,"Revue Zool. afr. 96 (3)","accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Allopsylla"
1416932,"7ddf754f-d193-4cc9-b351-99906754a03b",1416905,NA,NA,"Amalaraeus andersoni (Rothschild, 1908)","(Rothschild, 1908)","Amalaraeus andersoni","Amalaraeus","andersoni",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
6194290,"7ddf754f-d193-4cc9-b351-99906754a03b",1416905,"1416928",NA,"Amalaraeus arvicolae smitianus (Rosicky, 1959)","(Rosicky, 1959)","Amalaraeus arvicolae smitianus","Amalaraeus","arvicolae","smitianus","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
1416930,"7ddf754f-d193-4cc9-b351-99906754a03b",1416905,"1416928",NA,"Amalaraeus dioplesius (Peus, 1958)","(Peus, 1958)","Amalaraeus dioplesius","Amalaraeus","dioplesius",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
1416921,"7ddf754f-d193-4cc9-b351-99906754a03b",1416905,NA,"9132392","Amalaraeus dissimilis (Jordan, 1938)","(Jordan, 1938)","Amalaraeus dissimilis","Amalaraeus","dissimilis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
1416931,"7ddf754f-d193-4cc9-b351-99906754a03b",1416905,"1416928",NA,"Amalaraeus furkotensis (Rosicky, 1955)","(Rosicky, 1955)","Amalaraeus furkotensis","Amalaraeus","furkotensis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
1416915,"7ddf754f-d193-4cc9-b351-99906754a03b",1416905,"9770335","10634272","Amalaraeus mustelae (Wagner, 1898)","(Wagner, 1898)","Amalaraeus mustelae","Amalaraeus","mustelae",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
6194301,"7ddf754f-d193-4cc9-b351-99906754a03b",9770335,"6194299",NA,"Amalaraeus penicilliger bohemicus (Rosicky, 1957)","(Rosicky, 1957)","Amalaraeus penicilliger bohemicus","Amalaraeus","penicilliger","bohemicus","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
6194298,"7ddf754f-d193-4cc9-b351-99906754a03b",9770335,"6194297",NA,"Amalaraeus penicilliger demotus (Ioff, 1946)","(Ioff, 1946)","Amalaraeus penicilliger demotus","Amalaraeus","penicilliger","demotus","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
6194302,"7ddf754f-d193-4cc9-b351-99906754a03b",9770335,NA,NA,"Amalaraeus penicilliger longidigitus Ye, Ye & Y.u.Jiang, 1999","Ye, Ye & Y.u.Jiang, 1999","Amalaraeus penicilliger longidigitus","Amalaraeus","penicilliger","longidigitus","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
6194300,"7ddf754f-d193-4cc9-b351-99906754a03b",9770335,"6194299",NA,"Amalaraeus penicilliger nivalis (Yurkina, 1961)","(Yurkina, 1961)","Amalaraeus penicilliger nivalis","Amalaraeus","penicilliger","nivalis","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalaraeus"
8975274,"21db5658-1621-4a7d-b284-3ec1dca446e7",8846,NA,NA,"Amalareus Ioff, 1936","Ioff, 1936","Amalareus","Amalareus",NA,NA,"genus",NA,NA,"doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amalareus"
