"family","subfamily","genus","species","author","namePublishedInYear","synonym.s.","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Pulicidae","Xenopsyllinae","Xenopsylla",NA,"Glinkiewicz",1907,"Loemopsylla Jordan & Rothschild, 1908; Alaopsylla Jordan, 1933; Rooseveltiella C. Fox, 1914","Lewis",230,"Lewis230",NA,NA,NA,NA,NA,NA,NA,"Xenopsylla Glinkiewicz, 1907",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Glinkiewicz, 1907",NA,NA,"accepted",NA,NA,"Xenopsylla"
"Malacopsyllidae",NA,"Malacopsylla",NA,"Weyenbergh",1881,"Megapsylla Baker, 1898","Lewis",240,"Lewis240",NA,NA,NA,NA,NA,NA,NA,"Malacopsylla Weyenbergh, 1881",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Weyenbergh, 1881",NA,NA,"accepted",NA,NA,"Malacopsylla"
"Pulicidae","Pulicinae","Archaeopsylla",NA,"Jordan & Rothschild",1921,"Metapsylla Weiss, 1920","Lewis",247,"Lewis247",NA,NA,NA,NA,NA,NA,NA,"Archaeopsylla Jordan & Rothschild, 1921",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1921",NA,NA,"accepted",NA,NA,"Archaeopsylla"
"Stivaliidae",NA,"Gryphopsylla",NA,"Traub",1957,"Migrastivalius Traub, 1980 (subgenus)","Lewis",249,"Lewis249",NA,NA,NA,NA,NA,NA,NA,"Gryphopsylla Traub, 1957",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Traub, 1957",NA,NA,"accepted",NA,NA,"Gryphopsylla"
"Ctenophthalmidae","Anomiopsyllinae","Stenistomera",NA,"Rothschild",1915,"Miochaeta Good, 1942 (sunken subgenus)","Lewis",250,"Lewis250",NA,NA,NA,NA,NA,NA,NA,"Stenistomera Rothschild, 1915",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Rothschild, 1915",NA,NA,"accepted",NA,NA,"Stenistomera"
"Ischnopsyllidae","Ischnopsyllinae","Myodopsylla",NA,"Jordan & Rothschild",1911,"Myodopsylloides Augustson, 1941 (junior synonym)","Lewis",261,"Lewis261",NA,NA,NA,NA,NA,NA,NA,"Myodopsylla Jordan & Rothschild, 1911",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1911",NA,NA,"accepted",NA,NA,"Myodopsylla"
"Ceratophyllidae","Ceratophyllinae","Thrassis",NA,"Jordan",1933,"Nomadopsylla Stark, 1970 (junior synonym of Thrassis); Pandoropsylla Stark, 1970 (junior synonym of Thrassis); Thrassoides Stark, 1970 (junior synonym of Thrassis)","Lewis",275,"Lewis275",NA,NA,NA,NA,NA,NA,NA,"Thrassis Jordan, 1933",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan, 1933",NA,NA,"accepted",NA,NA,"Thrassis"
"Vermipsyllidae",NA,"Chaetopsylla",NA,"Kohaut",1903,"Oncopsylla Wahlgren, 1903 (junior synonym); Achaetopsylla Argyropulo, 1948","Lewis",285,"Lewis285",NA,NA,NA,NA,NA,NA,NA,"Chaetopsylla Kohaut, 1903",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Kohaut, 1903",NA,NA,"accepted",NA,NA,"Chaetopsylla"
"Coptopsyllidae",NA,"Coptopsylla",NA,"Jordan & Rothschild",1908,"Paracoptopsylla Argyropulo, 1938 (subgenus of Coptopsylla); Macocoptopsylla Ioff, 1953; Neocoptopsylla Wagner, 1932","Lewis",303,"Lewis303",NA,NA,NA,NA,NA,NA,NA,"Coptopsylla Jordan & Rothschild, 1908",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1908",NA,NA,"accepted",NA,NA,"Coptopsylla"
"Ctenophthalmidae","Rhadinopsyllinae","Trichopsylloides",NA,"Ewing",1938,"Phaneris hubbardi Jordan, 1939","Lewis",318,"Lewis318",NA,NA,NA,NA,NA,NA,NA,"Trichopsylloides Ewing, 1938",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing, 1938",NA,NA,"accepted",NA,NA,"Trichopsylloides"
