"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"NMNH",244,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus (Ctenophthalmus) agyrtes agyrtes (Heller, 1896)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","Ctenophthalmus","agyrtes","agyrtes","subspecies",NA,"Heller, 1896",NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes agyrtes"
"NMNH",245,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus (Ctenophthalmus) agyrtes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","Ctenophthalmus","agyrtes",NA,"species",NA,"",NA,NA,NA,NA,NA,"Ctenophthalmus agyrtes"
"NMNH",246,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis frustratus",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis",NA,"frustratus",NA,"species",NA,"",NA,NA,NA,NA,NA,"Polygenis frustratus"
"NMNH",247,NA,NA,NA,NA,NA,NA,NA,NA,"Hectopsylla pulex (Haller, 1880)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Tungidae","Hectopsylla",NA,"pulex",NA,"species",NA,"Haller, 1880",NA,NA,NA,NA,NA,"Hectopsylla pulex"
"NMNH",248,NA,NA,NA,NA,NA,NA,NA,NA,"Chiastopsylla godfreyi Waterston, 1913",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Chimaeropsyllidae","Chiastopsylla",NA,"godfreyi",NA,"species",NA,"Waterston, 1913",NA,NA,NA,NA,NA,"Chiastopsylla godfreyi"
"NMNH",252,NA,NA,NA,NA,NA,NA,NA,NA,"Listropsylla agrippinae (Rothschild, 1904)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Listropsylla",NA,"agrippinae",NA,"species",NA,"Rothschild, 1904",NA,NA,NA,NA,NA,"Listropsylla agrippinae"
"NMNH",253,NA,NA,NA,NA,NA,NA,NA,NA,"Listropsylla dorippae (Rothschild, 1904)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Listropsylla",NA,"dorippae",NA,"species",NA,"Rothschild, 1904",NA,NA,NA,NA,NA,"Listropsylla dorippae"
"NMNH",254,NA,NA,NA,NA,NA,NA,NA,NA,"Listropsylla prominens Jordan, 1930",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Listropsylla",NA,"prominens",NA,"species",NA,"Jordan, 1930",NA,NA,NA,NA,NA,"Listropsylla prominens"
"NMNH",256,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides damarensis Jordan, 1936",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Ctenocephalides",NA,"damarensis",NA,"species",NA,"Jordan, 1936",NA,NA,NA,NA,NA,"Ctenocephalides damarensis"
"NMNH",257,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides connatus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Ctenocephalides",NA,"connatus",NA,"species",NA,"Jordan, 1925",NA,NA,NA,NA,NA,"Ctenocephalides connatus"
