"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
"63","Siphonaptera","Ceratophyllidae","Foxella","ignota","utahensis","Wagner, 1936","subspecies",0,"Foxella ignota utahensis","FMNH"
"65","Siphonaptera","Ceratophyllidae","Jellisonia","bullisi",NA,"Augustson, 1944","species",0,"Jellisonia bullisi","FMNH"
"66","Siphonaptera","Ceratophyllidae","Jellisonia","ironsi",NA,"Eads, 1947","species",0,"Jellisonia ironsi","FMNH"
"68","Siphonaptera","Ceratophyllidae","Malaraeus","telchinus",NA,"Rothschild, 1905","species",0,"Malaraeus telchinus","FMNH"
"70","Siphonaptera","Ceratophyllidae","Megabothris","abantis",NA,"Rothschild, 1905","species",0,"Megabothris abantis","FMNH"
"71","Siphonaptera","Ceratophyllidae","Megabothris","clantoni",NA,"Hubbard, 1949","species",0,"Megabothris clantoni","FMNH"
"72","Siphonaptera","Ceratophyllidae","Nosopsyllus","fasciatus",NA,"","species",0,"Nosopsyllus fasciatus","FMNH"
"73","Siphonaptera","Ceratophyllidae","Opisodasys","nesiotus",NA,"Augustson, 1941","species",0,"Opisodasys nesiotus","FMNH"
"74","Siphonaptera","Ceratophyllidae","Opisodasys","robustus",NA,"","species",0,"Opisodasys robustus","FMNH"
"75","Siphonaptera","Ceratophyllidae","Opisodasys","robustus","mexicanus","Dampf, 1942","subspecies",0,"Opisodasys robustus mexicanus","FMNH"
"76","Siphonaptera","Ceratophyllidae","Opisodasys","robustus","robustus","Jordan, 1925","subspecies",0,"Opisodasys robustus robustus","FMNH"
"77","Siphonaptera","Ceratophyllidae","Opisodasys","enoplus",NA,"Rothschild, 1909","species",0,"Opisodasys enoplus","FMNH"
"78","Siphonaptera","Ceratophyllidae","Opisodasys","keeni",NA,"","species",0,"Opisodasys keeni","FMNH"
"79","Siphonaptera","Ceratophyllidae","Opisodasys","pseudarctomys",NA,"","species",0,"Opisodasys pseudarctomys","FMNH"
"81","Siphonaptera","Ceratophyllidae","Opisodasys","vesperalis",NA,"","species",0,"Opisodasys vesperalis","FMNH"
"82","Siphonaptera","Ceratophyllidae","Orchopeas","caedens",NA,"","species",0,"Orchopeas caedens","FMNH"
"83","Siphonaptera","Ceratophyllidae","Orchopeas","caedens","caedens","Jordan, 1925","subspecies",0,"Orchopeas caedens caedens","FMNH"
"84","Siphonaptera","Ceratophyllidae","Orchopeas","caedens","durus","Jordan, 1929","subspecies",0,"Orchopeas caedens durus","FMNH"
"85","Siphonaptera","Ceratophyllidae","Orchopeas","dieteri",NA,"Fox, 1929","species",0,"Orchopeas dieteri","FMNH"
"86","Siphonaptera","Ceratophyllidae","Orchopeas","howardi",NA,"","species",0,"Orchopeas howardi","FMNH"
"87","Siphonaptera","Ceratophyllidae","Orchopeas","howardi","howardi","Baker, 1895","subspecies",0,"Orchopeas howardi howardi","FMNH"
"88","Siphonaptera","Ceratophyllidae","Orchopeas","howardi","texensis","Eads, 1950","subspecies",0,"Orchopeas howardi texensis","FMNH"
"89","Siphonaptera","Ceratophyllidae","Orchopeas","illinoiensis",NA,"Lewis, 1998","species",0,"Orchopeas illinoiensis","FMNH"
"90","Siphonaptera","Ceratophyllidae","Orchopeas","latens",NA,"Jordan, 1925","species",0,"Orchopeas latens","FMNH"
"91","Siphonaptera","Ceratophyllidae","Orchopeas","leucopus",NA,"","species",0,"Orchopeas leucopus","FMNH"
"92","Siphonaptera","Ceratophyllidae","Orchopeas","neotomae",NA,"Augustson, 1943","species",0,"Orchopeas neotomae","FMNH"
"93","Siphonaptera","Ceratophyllidae","Orchopeas","nepos",NA,"Rothschild, 1905","species",0,"Orchopeas nepos","FMNH"
"94","Siphonaptera","Ceratophyllidae","Orchopeas","sexdentatus",NA,"","species",0,"Orchopeas sexdentatus","FMNH"
"95","Siphonaptera","Ceratophyllidae","Orchopeas","sexdentatus","intermedius","Hubbard, 1943","subspecies",0,"Orchopeas sexdentatus intermedius","FMNH"
"96","Siphonaptera","Ceratophyllidae","Orchopeas","sexdentatus","nevadensis","Jordan, 1929","subspecies",0,"Orchopeas sexdentatus nevadensis","FMNH"
"97","Siphonaptera","Ceratophyllidae","Orchopeas","sexdentatus","pennsylvanicus","Jordan, 1928","subspecies",0,"Orchopeas sexdentatus pennsylvanicus","FMNH"
"98","Siphonaptera","Ceratophyllidae","Orchopeas","sexdentatus","schisintus","Jordan, 1929","subspecies",0,"Orchopeas sexdentatus schisintus","FMNH"
"99","Siphonaptera","Ceratophyllidae","Orchopeas","sexdentatus","sexdentatus","Baker, 1904","subspecies",0,"Orchopeas sexdentatus sexdentatus","FMNH"
"101","Siphonaptera","Ceratophyllidae","Oropsylla","montana",NA,"Baker, 1895","species",0,"Oropsylla montana","FMNH"
"103","Siphonaptera","Ceratophyllidae","Oropsylla","oregonensis",NA,"Good & Prince, 1939","species",0,"Oropsylla oregonensis","FMNH"
"104","Siphonaptera","Ceratophyllidae","Oropsylla","washingtonensis",NA,"Good & Prince, 1939","species",0,"Oropsylla washingtonensis","FMNH"
"105","Siphonaptera","Ceratophyllidae","Oropsylla","bruneri",NA,"Baker, 1895","species",0,"Oropsylla bruneri","FMNH"
"106","Siphonaptera","Ceratophyllidae","Oropsylla","hirsutus",NA,"Baker, 1895","species",0,"Oropsylla hirsutus","FMNH"
"107","Siphonaptera","Ceratophyllidae","Oropsylla","labis",NA,"Jordan & Rothschild, 1922","species",0,"Oropsylla labis","FMNH"
"108","Siphonaptera","Ceratophyllidae","Oropsylla","tuberculata",NA,"","species",0,"Oropsylla tuberculata","FMNH"
"109","Siphonaptera","Ceratophyllidae","Oropsylla","tuberculata","cynomuris","Jellison, 1939","subspecies",0,"Oropsylla tuberculata cynomuris","FMNH"
"110","Siphonaptera","Ceratophyllidae","Oropsylla","tuberculata","tuberculata","Baker, 1904","subspecies",0,"Oropsylla tuberculata tuberculata","FMNH"
"112","Siphonaptera","Ceratophyllidae","Oropsylla","alaskensis",NA,"Baker, 1904","species",0,"Oropsylla alaskensis","FMNH"
"113","Siphonaptera","Ceratophyllidae","Oropsylla","arctomys",NA,"Baker, 1904","species",0,"Oropsylla arctomys","FMNH"
"114","Siphonaptera","Ceratophyllidae","Oropsylla","eatoni",NA,"Hubbard, 1954","species",0,"Oropsylla eatoni","FMNH"
"115","Siphonaptera","Ceratophyllidae","Oropsylla","rupestris",NA,"Jordan, 1929","species",0,"Oropsylla rupestris","FMNH"
"117","Siphonaptera","Ceratophyllidae","Oropsylla","idahoensis",NA,"","species",0,"Oropsylla idahoensis","FMNH"
"118","Siphonaptera","Ceratophyllidae","Pleochaetis","exilis",NA,"Jordan, 1937","species",0,"Pleochaetis exilis","FMNH"
"120","Siphonaptera","Ceratophyllidae","Plusaetis","asetus",NA,"Traub, 1950","species",0,"Plusaetis asetus","FMNH"
"121","Siphonaptera","Ceratophyllidae","Plusaetis","sibynus","sibynus","Jordan, 1925","subspecies",0,"Plusaetis sibynus sibynus","FMNH"
"122","Siphonaptera","Ceratophyllidae","Spicata","comis",NA,"","species",0,"Spicata comis","FMNH"
"123","Siphonaptera","Ceratophyllidae","Spicata","comis","comis","Jordan, 1929","subspecies",0,"Spicata comis comis","FMNH"
"124","Siphonaptera","Ceratophyllidae","Spicata","comis","walkeri","Hubbard, 1954","subspecies",0,"Spicata comis walkeri","FMNH"
