"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
NA,24,NA,NA,NA,NA,NA,NA,NA,"Callistopsyllus Jordan & Rothschild, 1915",NA,"Anomiopsyllinae",NA,NA,NA,"1915",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Anomiopsyllinae","Callistopsyllus",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1915",NA,"ICZN","accepted",NA,NA,"Callistopsyllus"
NA,25,NA,NA,NA,NA,NA,NA,NA,"Conorhinopsylla Stewart, 1930",NA,"Anomiopsyllinae",NA,NA,NA,"1930",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Anomiopsyllinae","Conorhinopsylla",NA,NA,NA,"genus",NA,"Stewart, 1930",NA,"ICZN","accepted",NA,NA,"Conorhinopsylla"
NA,26,NA,NA,NA,NA,NA,NA,NA,"Eopsylla Argyropulo, 1946",NA,"Anomiopsyllinae",NA,NA,NA,"1946",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Anomiopsyllinae","Eopsylla",NA,NA,NA,"genus",NA,"Argyropulo, 1946",NA,"ICZN","accepted",NA,NA,"Eopsylla"
NA,27,NA,NA,NA,NA,NA,NA,NA,"Jordanopsylla Traub & Tipton, 1951",NA,"Anomiopsyllinae",NA,NA,NA,"1951",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Anomiopsyllinae","Jordanopsylla",NA,NA,NA,"genus",NA,"Traub & Tipton, 1951",NA,"ICZN","accepted",NA,NA,"Jordanopsylla"
NA,28,NA,NA,NA,NA,NA,NA,NA,"Megarthroglossus Jordan & Rothschild, 1915",NA,"Anomiopsyllinae",NA,NA,NA,"1915",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Anomiopsyllinae","Megarthroglossus",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1915",NA,"ICZN","accepted",NA,NA,"Megarthroglossus"
NA,29,NA,NA,NA,NA,NA,NA,NA,"Wagnerina Ioff & Argyropulo, 1934",NA,"Anomiopsyllinae",NA,NA,NA,"1934",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Anomiopsyllinae","Wagnerina",NA,NA,NA,"genus",NA,"Ioff & Argyropulo, 1934",NA,"ICZN","accepted",NA,NA,"Wagnerina"
NA,31,NA,NA,NA,NA,NA,NA,NA,"Centetipsyllla Jordan, 1925",NA,"Archaeopsyllinae",NA,NA,NA,"1925",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Archaeopsyllinae","Centetipsyllla",NA,NA,NA,"genus",NA,"Jordan, 1925",NA,"ICZN","accepted",NA,NA,"Centetipsyllla"
NA,32,NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides Stiles & Collins, 1930",NA,"Archaeopsyllinae",NA,NA,NA,"1930",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Archaeopsyllinae","Ctenocephalides",NA,NA,NA,"genus",NA,"Stiles & Collins, 1930",NA,"ICZN","accepted",NA,NA,"Ctenocephalides"
NA,33,NA,NA,NA,NA,NA,NA,NA,"Nesolagobius Traub, 1980",NA,"Archaeopsyllinae",NA,NA,NA,"1980",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Archaeopsyllinae","Nesolagobius",NA,NA,NA,"genus",NA,"Traub, 1980",NA,"ICZN","accepted",NA,NA,"Nesolagobius"
NA,34,NA,NA,NA,NA,NA,NA,NA,"Aenigmopsylla Ioff, 1950",NA,"Ceratophyllinae",NA,NA,NA,"1950",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Aenigmopsylla",NA,NA,NA,"genus",NA,"Ioff, 1950",NA,"ICZN","accepted",NA,NA,"Aenigmopsylla"
