"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis",2767,"NA","NA","41","NA","NA","NA","NA","NA","Spalacopsylla Pinto, 1930","Adoratopsylla Ewing, 1925","NA","NA","NA","NA","1925","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Doratopsyllinae","Spalacopsylla",NA,NA,NA,"genus","NA","Pinto, 1930","NA","NA","junior synonym","NA","junior synonym","Spalacopsylla"
"Lewis",2769,"NA","NA","827","NA","NA","NA","NA","NA","Spalacopsylla Kolenati, 1856","Ctenophthalmus Kolenati, 1856","NA","NA","NA","NA","1856","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Spalacopsylla",NA,NA,NA,"genus","NA","Kolenati, 1856","NA","NA","junior synonym","NA","junior synonym","Spalacopsylla"
"Lewis",2775,"NA","NA","2260","NA","NA","NA","NA","NA","Pygiopsylla congrua Jordan & Rothschild, 1922","Pygiopsylla zethi (Rothschild, 1904)","NA","NA","NA","NA","1904","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","NA","Pygiopsylla",NA,"congrua",NA,"species","NA","Jordan & Rothschild, 1922","NA","NA","NA","NA","male","Pygiopsylla congrua"
"Lewis",2778,"NA","NA","2515","NA","NA","NA","NA","NA","Opisodasys jellisoni I. Fox, 1941","Tarsopsylla octodecimdentata (Kolenati, 1863)","NA","NA","NA","NA","1863","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Opisodasys",NA,"jellisoni",NA,"species","NA","I. Fox, 1941","NA","NA","NA","NA","male Tarsopsylla octodecimdentata","Opisodasys jellisoni"
"Lewis",2781,"NA","NA","2710","NA","NA","NA","NA","NA","Xenopsylla skrjabini Ioff, 1928","Xenopsylla skrjabini Ioff, 1930","NA","NA","NA","NA","1930","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsyllinae","Xenopsylla",NA,"skrjabini",NA,"species","NA","Ioff, 1928","NA","NA","NA","NA","only later 1930 did Ioff describe","Xenopsylla skrjabini"
"Lewis",2782,"NA","NA","548","NA","NA","NA","NA","NA","Ctenophthalmus agyrtes slovacicus Rosicky, 1951","Ctenophthalmus agyrtes peusianus Rosicky, 1955","NA","NA","NA","NA","1955","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus",NA,"agyrtes","slovacicus","subspecies","NA","Rosicky, 1951","NA","NA","NA","NA","partim","Ctenophthalmus agyrtes slovacicus"
"Lewis",2783,"NA","NA","548","NA","NA","NA","NA","NA","Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes peusianus Rosicky, 1955","NA","NA","NA","NA","1955","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus",NA,"orphilus","tatricus","subspecies","NA","Rosicky, 1951","NA","NA","NA","NA","partim","Ctenophthalmus orphilus tatricus"
"Lewis",2784,"NA","NA","537","NA","NA","NA","NA","NA","Ctenophthalmus agyrtes slovacicus Rosicky, 1951","Ctenophthalmus agyrtes agyrtes (Heller, 1896)","NA","NA","NA","NA","1896","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus",NA,"agyrtes","slovacicus","subspecies","NA","Rosicky, 1951","NA","NA","NA","NA","partim","Ctenophthalmus agyrtes slovacicus"
"Lewis",2785,"NA","NA","537","NA","NA","NA","NA","NA","Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes agyrtes (Heller, 1896)","NA","NA","NA","NA","1896","NA","Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus",NA,"orphilus","tatricus","subspecies","NA","Rosicky, 1951","NA","NA","NA","NA","partim","Ctenophthalmus orphilus tatricus"
"Lewis",2806,NA,NA,"91",NA,NA,NA,NA,NA,"Trichopsylla Kolenati, 1863","Amalaraeus Ioff, 1936",NA,NA,NA,NA,"1936",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Trichopsylla",NA,NA,NA,"genus",NA,"Kolenati, 1863",NA,NA,"synonym",NA,NA,"Trichopsylla"
