"source","taxonID","species","author","synonym(s)","fossil","reason"
"Lewis",151,"aspalacis","Jordan",NA,NA,NA
"Lewis",152,"casis","Jordan & Rothschild",NA,NA,NA
"Lewis",153,"daea","(Dampf)",NA,NA,NA
"Lewis",155,"dumalis","Jordan & Rothschild",NA,NA,NA
"Lewis",156,"georgica","Savenko",NA,NA,NA
"Lewis",157,"germani","Emelyanova & Lyetova",NA,NA,NA
"Lewis",158,"jingtieshanensis","Ma, Zhang & Wang",NA,NA,NA
"Lewis",159,"kalabukhovi","Ioff & Tiflov",NA,NA,NA
"Lewis",160,"kulkarnii","Lewis",NA,NA,NA
"Lewis",170,"montana","Argyropulo",NA,NA,NA
"Lewis",171,"montium","Jordan",NA,NA,NA
"Lewis",172,"orthogonia","Liu, Tsai & Wu",NA,NA,NA
"Lewis",173,"parthiana","Ioff",NA,NA,NA
"Lewis",174,"paucispina","Zheng & Cai",NA,NA,NA
"Lewis",175,"petristshevae","Darskaya",NA,NA,NA
"Lewis",179,"polyspina","Liu, Wu & Li",NA,NA,NA
"Lewis",180,"postsinusa","Liu, Guo & Wu",NA,NA,NA
"Lewis",181,"prima","Wagner",NA,NA,NA
"Lewis",187,"qinghaiensis","Ren & Ji",NA,NA,NA
"Lewis",188,"quadratedigita","Liu, Wu & Wu",NA,NA,NA
"Lewis",195,"rossica","Wagner",NA,NA,NA
"Lewis",198,"schelkovnikovi","Wagner",NA,NA,NA
"Lewis",209,"socia","Peus",NA,NA,NA
"Lewis",210,"tenuihama","Wu, Liu & Ma",NA,NA,NA
"Lewis",212,"transcaucasica","Ioff",NA,NA,NA
"Lewis",217,"tutatoides","Liu, Guo & Wu",NA,NA,NA
"Lewis",220,"washingtona","(Hubbard)",NA,NA,NA
"Lewis",221,"weiningensis","Li",NA,NA,NA
"Lewis",222,"yadongensis","Wang & Wang",NA,NA,NA
"Lewis",223,"nepalensis","Lewis",NA,NA,NA
"Lewis",224,"roubaudi","Toumanoff & Fuller",NA,NA,NA
"Lewis",225,"siamensis","Smit & Toumanoff",NA,NA,NA
"Lewis",226,"amphibolus","Wagner",NA,NA,NA
"Lewis",227,"durangoensis","Holland",NA,NA,NA
"Lewis",231,"martini","Holland",NA,NA,NA
"Lewis",232,"montanus","Collins",NA,NA,NA
"Lewis",233,"nidiophilus","Tipton & Mendez",NA,NA,NA
