"source","taxonID","catalog number","catalog","barcode","type status","type citation","other identifications","sex and stage","preparation","bioregion","distribution","country","province/state","district/county","precise locality","elevation (m)","centroid latitude","centroid longitude","field number","collector(s)","collecting date","specimen count","record status","genetic sample type","biorepository number","bold id","genbank numbers","preservation method","embargo?","depleted?","record last modified","ezid"
"NMNH",265,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical","Botswana; Ghana; Mauritania; Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-02 21:01:00,"http://n2t.net/ark:/65665/34339f4f2-0fc9-4c05-9251-5223b4d0019e"
"NMNH",287,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic; Neotropical; Palaearctic","Brazil; Netherlands; United States (Arkansas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/3b8d08e65-472c-45a2-9113-c1a9c80cc0c0"
"NMNH",320,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","Canada (Ontario); United States (Kansas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/3bf156ee0-fe62-4887-bd50-ffec826d13a0"
"NMNH",324,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","Canada (Alberta, British Columbia); United States (California, Colorado, Florida, Kansas, Maine, Maryland, Massachusetts, Montana, New York, Oregon, South Carolina)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/3ac70ae7a-a99e-4072-b9f1-f15b2fd4d388"
"NMNH",355,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","Canada (Alberta); United States (Colorado, Montana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:17:00,"http://n2t.net/ark:/65665/38832e699-011c-4ae2-8298-958f2af0e167"
"NMNH",373,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic; Palaearctic","China; United States (Idaho, Montana, North Dakota, Oregon, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/384820506-1e2c-4738-9ce6-97a3e5ab7bde"
"NMNH",379,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic; Neotropical","Colombia; Mexico; Panama; United States (Texas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2020-01-09 21:55:00,"http://n2t.net/ark:/65665/34a7ea3e0-0850-474f-9825-43a686e0d80e"
"NMNH",385,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical; Neotropical; Palaearctic","Congo; Denmark (Iceland); Germany; Korea; Mexico; Rwanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:26:00,"http://n2t.net/ark:/65665/38da3cc12-cec6-4483-bc52-336be8476789"
"NMNH",401,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical","Egypt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-29 17:42:00,"http://n2t.net/ark:/65665/3d21291b9-0ea8-41b4-9f6c-a74e51364cd8"
"NMNH",403,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical; Nearctic; Palaearctic","Egypt; United States (Virginia); Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/38f477918-4834-437f-bfc3-126a606a9696"
