"family","subfamily","genus","species","author","namePublishedInYear","synonym(s)","source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName","dupe"
"Ctenophthalmidae","Ctenophthalminae","Palaeopsylla","tauberi makaluensis","Brelih","1975","Palaeopsylla makaluensis Brelih, 1975 (Male)",NA,3820,NA,"2916","85",NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla tauberi makaluensis","Palaeopsylla",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"makaluensis",NA,"species",NA,"Brelih, 1975",NA,"ICZN","synonym",NA,"male","Palaeopsylla makaluensis","dupe"
"Ctenophthalmidae","Stenoponiinae","Stenoponia","tripectinata","(Tiraboschi)","1902","Stenoponia tripectinata medialis Jordan, 1958 (see Beaucournu, 2013)",NA,3667,NA,"2824","2824",NA,NA,NA,NA,"Stenoponia tripectinata medialis Jordan, 1958 (see Beaucournu, 2013","Stenoponia tripectinata","Stenoponia tripectinata",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"tripectinata","see","subspecies",NA,"Jordan, 1958 Beaucournu, 2013",NA,"ICZN","synonym",NA,NA,"Stenoponia tripectinata see","dupe"
"Ctenophthalmidae","Stenoponiinae","Stenoponia","tripectinata","(Tiraboschi)","1902","Stenoponia tripectinata separata Jordan, 1958 (see Beaucournu, 2013)",NA,3668,NA,"2824","2824",NA,NA,NA,NA,"Stenoponia tripectinata separata Jordan, 1958 (see Beaucournu, 2013","Stenoponia tripectinata","Stenoponia tripectinata",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"tripectinata","see","subspecies",NA,"Jordan, 1958 Beaucournu, 2013",NA,"ICZN","synonym",NA,NA,"Stenoponia tripectinata see","dupe"
"Ctenophthalmidae","Stenoponiinae","Stenoponia","tripectinata","(Tiraboschi)","1902","Stenoponia tripectinata spinellosa Jordan, 1958 (see Beaucournu, 2013)",NA,3669,NA,"2824","2824",NA,NA,NA,NA,"Stenoponia tripectinata spinellosa Jordan, 1958 (see Beaucournu, 2013","Stenoponia tripectinata","Stenoponia tripectinata",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"tripectinata","see","subspecies",NA,"Jordan, 1958 Beaucournu, 2013",NA,"ICZN","synonym",NA,NA,"Stenoponia tripectinata see","dupe"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla ",NA,"Ioff","1936","Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)",NA,3211,NA,"2545",NA,NA,NA,NA,NA,"Trichopsylla Ewing & Fox, 1943","Amalaraeus","Ceratophyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing & Fox, 1943",NA,"ICZN","synonym",NA,"junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla ","dupe"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla ",NA,"Ioff","1936","Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863)",NA,3212,NA,"2545",NA,NA,NA,NA,NA,"Trichopsylla Jordan & Rothschild, 1920","Amalaraeus","Ceratophyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1920",NA,"ICZN","synonym",NA,"junior homonym of Trichopsylla Kolenati, 1863","Trichopsylla ","dupe"
"Ceratophyllidae","Ceratophyllinae","Trichopsylla ",NA,"Ioff","1936","Trichopsylla Kolenati, 1863",NA,3213,NA,"2545",NA,NA,NA,NA,NA,"Trichopsylla Kolenati, 1863","Amalaraeus","Ceratophyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Kolenati, 1863",NA,"ICZN","synonym",NA,NA,"Trichopsylla ","dupe"
"Ctenophthalmidae","Ctenophthalminae","Spalacopsylla ",NA,"Kolenati","1856","Spalacopsylla Kolenati, 1856 (junior synonym)",NA,3226,NA,"2555",NA,NA,NA,NA,NA,"Spalacopsylla Kolenati, 1856","Ctenophthalmus","Ctenophthalminae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Kolenati, 1856",NA,"ICZN","synonym",NA,"junior synonym","Spalacopsylla ","dupe"
"Ctenophthalmidae","Doratopsyllinae","Spalacopsylla ",NA,"Ewing","1925","Spalacopsylla Pinto, 1930",NA,3228,NA,"2557",NA,NA,NA,NA,NA,"Spalacopsylla Pinto, 1930","Adoratopsylla","Doratopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Pinto, 1930",NA,"ICZN","synonym",NA,NA,"Spalacopsylla ","dupe"
"Ischnopsyllidae","Ischnopsyllinae","Spalacopsylla ",NA,"Westwood","1833","Spalacopsylla Oudemans, 1906 (junior synonym)",NA,3234,NA,"2560",NA,NA,NA,NA,NA,"Spalacopsylla Oudemans, 1906","Ischnopsyllus","Ischnopsyllinae",NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Oudemans, 1906",NA,"ICZN","synonym",NA,"junior synonym","Spalacopsylla ","dupe"
